"iso_code","region"
"AGO","snf_1"
"BDI","snf_2"
"BEN","snf_3"
"BFA","snf_4"
"BWA","snf_1"
"CAF","snf_5"
"CIV","snf_3"
"CMR","snf_5"
"COD","snf_2"
"COG","snf_5"
"ERI","snf_2"
"ETH","snf_2"
"GAB","snf_5"
"GHA","snf_3"
"GIN","snf_4"
"GMB","snf_4"
"GNB","snf_4"
"GNQ","snf_5"
"KEN","snf_2"
"LBR","snf_3"
"MLI","snf_4"
"MOZ","snf_1"
"MRT","snf_4"
"MWI","snf_1"
"NAM","snf_1"
"NER","snf_4"
"NGA","snf_3"
"RWA","snf_2"
"SEN","snf_4"
"SLE","snf_3"
"SOM","snf_2"
"SSD","snf_2"
"SWZ","snf_1"
"TCD","snf_4"
"TGO","snf_3"
"TZA","snf_2"
"UGA","snf_2"
"ZAF","snf_1"
"ZMB","snf_1"
"ZWE","snf_1"
