"arm","MAE","R2corr","bias","sd_ratio","dcor","dir_acc","degen"
"P001",0.202675282258176,0.272459554931573,0.441750516270422,1.08421370848929,-0.00299596313868974,0.499587457936459,0.0724409801848479
"P000",0.200176621037456,0.301208068167969,0.446557022311916,1.15301765200066,0.000155750382611243,0.493050740118875,0.0494337771666542
"P000R",0.200358218670917,0.30497997994067,0.453693571390974,1.11679461737025,0.0322836911415424,0.501296695225484,0.0494337771666542
"P000H",0.199315954916235,0.299723684438998,0.456485725489796,1.11320221752004,0.0133495931662934,0.474011830246701,0.0494337771666542
"N5",0.196649912862249,0.308577307212798,0.433984708031167,1.14878734024132,0.012499797430863,0.449030800592429,0.0494337771666542
"N6",0.198983498915031,0.297095648643932,0.464650674078502,1.18797351028305,0.0426547447122956,0.468887238141733,0.0403108232404535
"N8",0.197266733959128,0.321137204837797,0.459255412513647,1.10644026365132,0.0230670698067161,0.478298388913328,0.0386863113427805
"D9b",0.19246560180869,0.301598070549514,0.469670120770482,1.00553457312329,0.00478358139875276,0.471757561187119,0.0675231560568875
"F1",0.202986651559273,0.286934444413467,0.46468971038268,1.2206815354326,0.0635855739276349,0.483981736876751,0.0424090706219524
"F3",0.198740429896317,0.317829384663827,0.477040227670188,1.17195731156999,0.0474748719574926,0.473451178343959,0.0403108232404535
"F4",0.19944586155272,0.296931973060866,0.473647516955772,1.18257749787267,-0.000106152419925041,0.470269883720081,0.0494337771666542
"persistence",0.136288280322596,NA,0.997055761463517,0,NA,0,1
"seasonal",0.178182287379754,0.339890627928937,0.731355662128756,1.61768411086465,0.0969691167748017,0.573617990192535,0
