"iso_code","cases","deaths","nonzero_wk","w_raw","w_sqrt"
"COD",164015.5,3069,193,0.208035895484526,0.132086594236767
"NGA",161900,5098,206,0.205352612886859,0.131231991837632
"SSD",98635,1606,105,0.125107813292745,0.102431096244435
"ETH",66130,802,156,0.0838787417554541,0.0838717215766347
"MOZ",57955,270,153,0.0735096397767631,0.0785166481259213
"SOM",48695,191,155,0.0617643328259767,0.0719711564849101
"MWI",42524,1155,109,0.0539370877727042,0.0672563587478262
"AGO",36351,898,51,0.0461073059360731,0.0621834018985517
"ZWE",35329,742,96,0.0448110096397768,0.0613030339306562
"ZMB",25456,776,107,0.0322881785895485,0.052036895324978
"TZA",17680,230,124,0.0224251648909183,0.0433668049382189
"CMR",15093,0,70,0.0191438356164384,0.040068592049502
"KEN",11943,0,41,0.015148401826484,0.0356428983772734
"BDI",5888,28,150,0.00746829020801624,0.0250265046028306
"LBR",493.5,0,80,0.000625951293759513,0.0072453584251226
"RWA",312,0,29,0.000395738203957382,0.00576094319874006
