"iso","w","mae_P000E","mae_ND","mae_NDe","mae_pers","sdr_P000E","sdr_NDe","excess","w_excess","ND_vs_prod","NDe_vs_prod"
"SSD",0.102431096244435,0.53358376915708,0.486607411178465,0.473227506172884,0.207132923490017,NA,NA,0.326450845667063,0.0334387179916001,-0.0880393308305188,-0.113114878062245
"COD",0.132086594236767,0.245338458062824,0.208909610317362,0.215069995889174,0.130362009219049,NA,NA,0.114976448843775,0.0151868475452121,-0.148484049476394,-0.12337430671346
"AGO",0.0621834018985517,0.721871564117645,0.722595182087718,0.722689255742471,0.49505898031504,NA,NA,0.226812583802605,0.0141039780542463,0.001002419275177,0.00113273837822654
"NGA",0.131231991837632,0.150688021341183,0.0816892254870112,0.077174128352247,0.0831511355876886,NA,NA,0.0675368857534946,0.0088630000399417,-0.457891710568998,-0.487854922605217
"SOM",0.0719711564849101,0.121791394670445,0.0821495894067816,0.0803503481420999,0.0820936286528711,NA,NA,0.0396977660175739,0.00285709413015216,-0.325489377725988,-0.340262517236791
"ZWE",0.0613030339306562,0.192509356745114,0.199219220688474,0.196611992563357,0.150256479907783,NA,NA,0.0422528768373309,0.00259022954242673,0.0348547419035029,0.0213113579911639
"KEN",0.0356428983772734,0.170640397174679,0.185580904143115,0.199552005983617,0.128583488621353,NA,NA,0.0420569085533262,0.00149903011762849,0.0875555098078113,0.169430037011356
"MWI",0.0672563587478262,0.0337171348627988,0.018695181981337,0.019454622619851,0.013899955121582,NA,NA,0.0198171797412168,0.00133283135004543,-0.445528747996793,-0.423004869808321
"TZA",0.0433668049382189,0.235211536656956,0.206186630046577,0.19609251955972,0.213769795550465,NA,NA,0.0214417411064911,0.00092985980410099,-0.123399162400399,-0.166314193824127
"LBR",0.0072453584251226,0.315450922786328,0.251067954455151,0.276476552146139,0.204528586460186,NA,NA,0.110922336326141,0.000803672084034891,-0.204098208882992,-0.123551296968588
"ETH",0.0838717215766347,0.167393370015576,0.148074132982648,0.133029239527353,0.159713046457111,NA,NA,0.00768032355846421,0.000644161959113978,-0.115412199605815,-0.205289674764451
"BDI",0.0250265046028306,0.10066643382719,0.0865861976730853,0.0752009479314465,0.083148905122473,NA,NA,0.0175175287047173,0.000438402512758825,-0.139870219086889,-0.252968988048779
"RWA",0.00576094319874006,0.0854076524849135,0.0888529188175159,0.0901961951864454,0.0799397024227664,NA,NA,0.00546795006214701,3.15005497215761e-05,0.0403390824166608,0.0560669045713187
"CMR",0.040068592049502,0.00751030157923724,0.0397983425473816,0.0524202261691975,0.0178810803975201,NA,NA,-0.0103707788182829,-0.000415542505705394,4.299167034438,5.97977645985841
"ZMB",0.052036895324978,0.130380462377319,0.134875631125064,0.128531770963768,0.153550829945942,NA,NA,-0.0231703675686225,-0.00120571399180967,0.0344773186548162,-0.0141792058399106
"MOZ",0.0785166481259213,0.101530910606387,0.0737212880527825,0.0792151712923936,0.168022694661144,NA,NA,-0.0664917840547575,-0.00522071201189214,-0.273903015224753,-0.219792565443507
