arm	real_wk913	constant_wk913	shuffle_wk913	noise_wk913	flat_mid_wk913	timing_gain	verdict	timestamp
N8	0.16577	0.16526	0.17094	0.18279	0.18276	-0.00308	FAIL (indistinguishable)	2026-09-23T11:40:06
D9b	0.16721	0.16806	0.17276	0.18279	0.18276	0.00508	PASS	2026-09-23T11:44:23
N5	0.16745	0.16542	0.17077	0.18279	0.18276	-0.01225	FAIL (constant is BETTER)	2026-09-23T11:47:35
N6	0.16723	0.16842	0.17181	0.18279	0.18276	0.00707	PASS	2026-09-23T11:47:38
P000	0.16640	0.17047	0.17324	0.18279	0.18276	0.02385	PASS	2026-09-23T11:47:38
P000R	0.16512	0.16482	0.16686	0.18279	0.18276	-0.00185	FAIL (indistinguishable)	2026-09-23T11:47:38
F1	0.16860	0.16871	0.17042	0.18279	0.18276	0.00068	FAIL (indistinguishable)	2026-09-23T11:47:39
F3	0.16897	0.16729	0.16920	0.18279	0.18276	-0.01010	FAIL (constant is BETTER)	2026-09-23T11:47:41
F4	0.16559	0.16698	0.17113	0.18279	0.18276	0.00836	PASS	2026-09-23T11:47:42
P000H	0.16680	0.16805	0.17064	0.18279	0.18276	0.00746	PASS	2026-09-23T11:47:45
# SUPERSEDED THRESHOLD: rows written before 2026-09-23T11:50 used a 0.5% threshold.
# The measured replicate floor of timing_gain is 2.57pp (P000 +2.39% vs P000R -0.19%,
# identical code, disjoint seed blocks). Under that floor EVERY arm in this table
# FAILS, including the four the 0.5% threshold passed (D9b, N6, P000H, F4).
ND	0.17619	0.17505	0.17326	0.18279	0.18276	-0.00648	FAIL (within replicate noise)	2026-09-23T11:51:38
