"year","cfr_trend","cfr_trend_lower","cfr_trend_upper"
1970,0.0507155680928728,0.039156550121758,0.06545436274103
1971,0.0518620423807424,0.0411372282888052,0.0651928013564823
1972,0.0528745729499459,0.0428470619769658,0.0650892399898866
1973,0.0536750159923881,0.044261959267872,0.0649538694845922
1974,0.0543840356101985,0.0455828977373569,0.0647691753054839
1975,0.0553110576922215,0.047098128629114,0.0648586706060623
1976,0.0567989035932618,0.0490510531265156,0.0656860307050322
1977,0.0590158985319322,0.0515681921178032,0.0674627251647665
1978,0.0617983103321417,0.0545603792664754,0.0699254034284735
1979,0.0646327551768571,0.0576320573917827,0.0724184934389167
1980,0.0668535762764571,0.0602013089194003,0.0741828983880803
1981,0.0680225338137727,0.0618668152191542,0.0747419457371633
1982,0.0682577946935176,0.062719549521635,0.0742463376685927
1983,0.0682353153106853,0.0633185206554314,0.0735039470205606
1984,0.0688410415560684,0.0644071860296918,0.0735561309506246
1985,0.0707075753620189,0.0665749396066297,0.0750761110951542
1986,0.0738381496365524,0.0698937627029622,0.0779864701228087
1987,0.0774032951427872,0.0735931883715065,0.0813933298391809
1988,0.0798702351552987,0.0761341203552098,0.0837730667807211
1989,0.0796789620964978,0.0759815740297183,0.0835400045761709
1990,0.0762552489312812,0.0726427525528388,0.0800318895628254
1991,0.0705383753746988,0.0670727680034874,0.0741688125436236
1992,0.0644566632875874,0.0611412198306543,0.0679388802640561
1993,0.059866570391072,0.0566566122436068,0.0632462000626346
1994,0.0578684816426536,0.0546925979399681,0.061216839618782
1995,0.0586918129719946,0.0554543580405183,0.0621058448156922
1996,0.061732701832759,0.0583349472431275,0.0653146339130476
1997,0.0655261453381435,0.0619156270556846,0.0693316449832898
1998,0.0679793997527228,0.0641888405743682,0.071976587036135
1999,0.0672672167039765,0.0634165143955348,0.0713339282940948
2000,0.0629747869348271,0.0592529122627702,0.0669138164316961
2001,0.0563645445428318,0.0529711550416313,0.0599615544688429
2002,0.0494253847122778,0.0464726859981745,0.0525553466472584
2003,0.0436963233623019,0.0411660803635382,0.0463745641016724
2004,0.0397987598845976,0.0375921541143476,0.0421292203477696
2005,0.0376027202259124,0.0356115293103769,0.0397006637021096
2006,0.03654141154199,0.0346738724977564,0.0385055242374418
2007,0.0358695922710892,0.0340431385281051,0.0377902037473536
2008,0.0349217284679734,0.0330770123355088,0.0368654025686974
2009,0.0333734575882059,0.0314955263400164,0.0353592731001541
2010,0.0313486928912876,0.0294375385202328,0.0333796566545399
2011,0.0292669579207726,0.0272946762070311,0.0313771572407099
2012,0.0275602937679165,0.0254721675668185,0.0298143608700465
2013,0.026469390314362,0.0242004402239379,0.0289447592704583
2014,0.0259869198234101,0.0234631225429476,0.028774188872191
2015,0.0258951996599168,0.0230426180605071,0.0290904039381327
2016,0.0258555147854303,0.0226322213117503,0.029524004266679
2017,0.0255431368628112,0.0219633920363405,0.0296886222830615
2018,0.0247911073392325,0.0209133087356802,0.0293663708067283
2019,0.0236547217473424,0.0195517092710038,0.0285936583855765
2020,0.0223457143428207,0.0180842847422484,0.0275831103089325
2021,0.0210926007726289,0.0167173021288057,0.0265820576645478
2022,0.0200295993983049,0.0155468534083374,0.0257710543417052
2023,0.0191655424582729,0.0145468791376316,0.0252131214648354
2024,0.0184236096846444,0.0136369614229229,0.0248480723168961
2025,0.0177242016571418,0.0127619694150196,0.0245678813864315
2026,0.0170508837518928,0.0119200144418885,0.02433589714648
