"","AGO","BDI","BEN","BFA","BWA","CAF","CIV","CMR","COD","COG","ERI","ETH","GAB","GHA","GIN","GMB","GNB","GNQ","KEN","LBR","MLI","MOZ","MRT","MWI","NAM","NER","NGA","RWA","SEN","SLE","SOM","SSD","SWZ","TCD","TGO","TZA","UGA","ZAF","ZMB","ZWE"
"AGO",0,189023.420006001,328377.137309018,384204.789965303,144325.998282947,236099.666593866,374871.161003828,229399.331566677,138965.669517257,143748.876223218,431350.788792356,376272.630324185,159823.949558829,339236.357987209,447592.517983428,513091.798453711,498727.523588749,193390.710186975,297063.058065226,402159.420111989,447055.104951567,226392.431962803,525485.808430547,203943.696147927,121791.517205326,380248.342517509,293568.840133937,199394.007628962,511281.583986803,442139.065537237,416949.322914503,289571.058990949,241431.42346338,341691.118710401,327169.290247114,226117.242286923,250512.236495057,225722.738413209,126612.334560597,170355.529997965
"BDI",189023.420006001,0,376347.747854337,435078.978852986,244487.655067924,169420.457249336,459035.824150157,240147.949244022,78520.3896338246,184589.405991912,256159.152250131,190397.951746036,226924.239710764,409191.035769934,531685.945443291,594160.999780277,584554.070573221,250315.636353912,109112.611674504,499921.163182141,482544.542584381,184911.326758431,569865.380562022,136879.740196874,277959.448828436,359446.14276175,313228.153470545,16482.0430580633,587145.854842165,535692.767515971,228492.490944328,131494.880135904,288265.810293063,269117.513170257,386404.215600738,73003.1138705103,67011.7658980365,322276.143238425,127955.730063565,193884.230322928
"BEN",328377.137309018,376347.747854337,0,59466.9476211559,472423.573577432,225479.064182283,99980.8189830036,136635.830842613,304402.534623329,205098.131655373,446474.49288516,455974.502191524,172261.297267811,48172.800004352,162028.192772133,220008.102464101,212779.622917584,139153.622837395,451086.979224136,148155.95466592,118707.249695171,525572.569478765,200499.134228332,485946.889070001,432322.914025601,127885.15225868,70279.692896747,369701.851842424,211666.630494948,173270.054541677,535143.698066106,344214.854738923,569084.323037117,209308.461097221,21624.1175584852,448961.450695276,382835.895979305,550631.020045298,424125.765085519,488511.118583846
"BFA",384204.789965303,435078.978852986,59466.9476211559,0,527558.209613819,280367.167322853,74022.4299108144,194973.573582872,363740.628853791,264389.535727197,489042.351272752,505609.218082227,230528.522963019,53879.130578644,113640.959175776,165128.951531486,160294.442275054,197871.158163358,506870.702397426,117119.53511312,66173.826965211,584794.33484565,141980.923728671,545378.808428035,483720.377146491,147225.003822178,124277.951197173,428019.802933733,155324.005347924,130587.604823505,586161.84199072,396314.073747953,625515.088028013,248205.509778698,57102.3369714443,507837.598906531,439074.664800583,603926.833104782,483026.25264234,546602.204991355
"BWA",144325.998282947,244487.655067924,472423.573577432,527558.209613819,0,358207.429363362,513087.024212933,370181.890367541,239272.033649194,283692.088580996,499341.870740501,426751.881146815,303874.529935144,481044.269351835,583946.969361023,648805.19206701,633364.542101161,337546.427828443,328703.901566417,535653.602294652,591009.563221833,150695.282484571,668145.326003857,162865.881558571,75898.877411052,520546.605372487,437055.705210452,260350.661336801,648427.127577094,575798.812354281,439685.137215407,373125.324569878,102194.156130566,468396.274496925,470456.720991887,235956.235820014,310760.227705568,85610.3888424762,117718.417067801,80364.1635413177
"CAF",236099.666593866,169420.457249336,225479.064182283,280367.167322853,358207.429363362,0,320215.34410845,95890.4451925456,122856.708679369,112491.935135477,248303.507017447,236550.383073354,139309.636858812,266837.312400648,387306.865146015,444910.937890206,438235.359665492,138871.384184673,226591.888335682,366334.898190346,319665.497721131,347678.927508825,406991.784767695,301095.201399449,357036.334447632,190026.316353785,156227.346957558,158039.111422127,435653.337347121,396680.679113181,312259.075423221,121715.555554538,431134.590997964,110511.934769692,240479.697171791,240790.169942568,159364.200858143,443708.576982509,263948.727117265,336671.934650086
"CIV",374871.161003828,459035.824150157,99980.8189830036,74022.4299108144,513087.024212933,320215.34410845,0,226384.102476346,382908.247929342,277285.412020955,546443.997898956,553998.540013809,237358.087650911,53653.5071810804,74199.1507077559,139483.601711445,127123.627984626,209495.835032671,542401.648539284,48202.0778950976,122499.993599572,590258.664336768,166278.196004535,555223.8459142,460108.656700287,217001.142121125,169026.273218548,454559.56171865,136503.16999793,77144.2532397494,632028.430991293,440906.602596832,614197.900905361,308716.728794582,81050.9653651547,529947.809819983,473716.036765826,583129.383842069,486478.749348542,543726.006067037
"CMR",229399.331566677,240147.949244022,136635.830842613,194973.573582872,370181.890367541,95890.4451925456,226384.102476346,0,170875.914687606,86489.9019920368,339315.160772027,332425.882431621,78761.6218527493,173713.019570711,295877.069521158,356142.661629173,347921.963266537,57505.5927952913,316274.922614988,271567.771212016,244381.466386518,398203.273088944,331061.769300305,355793.508562984,348093.414249873,150863.440306705,74613.1813716167,233119.256505319,348215.670838908,303379.933642577,407750.236967794,217588.582034274,458381.113040935,139310.997734099,148655.679714028,312994.083876476,247663.188256962,454106.565053009,300968.436949403,370203.851633545
"COD",138965.669517257,78520.3896338246,304402.534623329,363740.628853791,239272.033649194,122856.708679369,382908.247929342,170875.914687606,0,106595.681527504,292996.388021226,243640.05236858,148685.642242293,334280.762315129,456200.636557604,519567.586069411,509230.912862338,173475.146450744,181118.063744141,422718.225484542,415254.298477994,229965.681457808,501791.378240602,185758.948162997,250272.321490412,305301.530292168,245434.454508633,79226.3314464574,513283.795623106,459121.33282787,296295.381342918,150613.51030417,308301.811324936,232926.632305473,312720.067568451,147105.838286141,120955.340537724,324024.410775556,141180.796816531,213867.061042546
"COG",143748.876223218,184589.405991912,205098.131655373,264389.535727197,283692.088580996,112491.935135477,277285.412020955,86489.9019920368,106595.681527504,0,352108.157498115,323283.64707209,42515.3895885795,230213.926321756,351031.442347475,415134.426884204,404110.674900361,68129.9717428385,280364.703271929,316263.675477923,321093.16408155,320484.137640462,405384.640252175,281278.57879054,264073.448710313,237111.98004116,156117.755289743,182839.225638056,409635.145911466,353024.949324695,388062.392019209,212260.342277397,372821.40521005,204511.980911909,210554.614788136,253492.226987986,213994.584882341,367709.618755071,219684.980338867,286583.307699688
