"","AGO","BDI","BEN","BFA","BWA","CAF","CIV","CMR","COD","COG","ERI","ETH","GAB","GHA","GIN","GMB","GNB","GNQ","KEN","LBR","MLI","MOZ","MRT","MWI","NAM","NER","NGA","RWA","SEN","SLE","SOM","SSD","SWZ","TCD","TGO","TZA","UGA","ZAF","ZMB","ZWE"
"ERI",431350.788792356,256159.152250131,446474.49288516,489042.351272752,499341.870740501,248303.507017447,546443.997898956,339315.160772027,292996.388021226,352108.157498115,0,84277.1036017344,385688.792914955,493601.325505221,602660.870705816,649149.020564322,647553.968754546,387103.819614783,183319.844051561,594579.10516655,503580.965240603,405036.594484262,581405.779450566,362260.440554265,532998.287421122,351069.716511225,378298.652374487,241234.920917851,636573.266001375,617890.733336402,143395.39721744,143804.187742521,526785.480616359,241051.445477756,465878.714300011,274222.222643185,189176.345315283,572849.761488961,381675.337380194,439367.640684911
"ETH",376272.630324185,190397.951746036,455974.502191524,505609.218082227,426751.881146815,236550.383073354,553998.540013809,332425.882431621,243640.05236858,323283.64707209,84277.1036017344,0,362024.098846842,500345.159008546,617276.748640732,670116.521034896,665892.063688241,371044.804439875,101666.842803487,601075.285890797,531162.389612954,323140.721980129,614276.577362504,282001.229946172,467562.071083652,380759.878041432,385728.622557293,177746.059565283,659025.815871905,629180.58961789,82542.0161185362,115096.52676283,446424.053416063,267177.252448151,473150.782583637,195047.97125498,125783.238365484,496245.069800801,309453.929012876,361989.940669396
"GAB",159823.949558829,226924.239710764,172261.297267811,230528.522963019,303874.529935144,139309.636858812,237358.087650911,78761.6218527493,148685.642242293,42515.3895885795,385688.792914955,362024.098846842,0,192331.818787834,311434.913762407,376115.819896291,364458.255995814,33764.6764663461,322554.839178185,274983.211560932,290445.516447905,355582.87091479,372444.641464053,318500.066302214,273850.991744788,225049.905174012,134093.023592527,225352.225866228,371319.849688847,312318.369652863,428864.994473009,249130.18886066,397992.632107124,214314.241885011,174876.254504159,295159.803709228,255753.577050814,385349.595450549,252887.944049265,316255.110419241
"GHA",339236.357987209,409191.035769934,48172.800004352,53879.130578644,481044.269351835,266837.312400648,53653.5071810804,173713.019570711,334280.762315129,230213.926321756,493601.325505221,500345.159008546,192331.818787834,0,122682.554172964,185287.092453458,175385.500871883,162097.324045169,489983.508313912,101232.229703853,119422.927116049,547751.666770038,187408.546524838,510707.356724763,433933.974951198,172966.418687341,115618.59959931,403980.227963256,179421.524748421,129887.52519609,578456.287543277,387325.467696001,580504.740537946,257377.777990801,27723.3756865306,480850.227347727,421352.555026673,555317.128468079,444603.392099411,505172.323870839
"GIN",447592.517983428,531685.945443291,162028.192772133,113640.959175776,583946.969361023,387306.865146015,74199.1507077559,295877.069521158,456200.636557604,351031.442347475,602660.870705816,617276.748640732,311434.913762407,122682.554172964,0,65583.8074161773,53079.2480987385,283052.727579839,612009.275845028,53263.7874654397,122798.996180124,664348.190660121,121316.769521798,629421.087637683,528078.373055077,258234.433602386,232155.351184835,526640.623639889,64705.8838971951,25576.4503322495,696963.831427283,506176.004992067,685570.853655615,361843.416411594,147304.278562449,603067.999449788,543479.207846254,651486.227654905,560526.588923552,617033.239609817
"GMB",513091.798453711,594160.999780277,220008.102464101,165128.951531486,648805.19206701,444910.937890206,139483.601711445,356142.661629173,519567.586069411,415134.426884204,649149.020564322,670116.521034896,376115.819896291,185287.092453458,65583.8074161773,0,18456.4528187614,347024.160469052,671015.942981752,114011.522050836,148929.480574122,729740.80321386,102724.412669814,694425.033396961,591687.530766582,298945.738531763,288701.848397723,588467.901810819,15717.1339000571,74643.0193074659,751038.195223286,561435.853229878,750588.903795611,408504.701047127,207910.181565965,666049.532749529,602833.874778277,715128.312913679,625960.321845487,682608.250552045
"GNB",498727.523588749,584554.070573221,212779.622917584,160294.442275054,633364.542101161,438235.359665492,127123.627984626,347921.963266537,509230.912862338,404110.674900361,647553.968754546,665892.063688241,364458.255995814,175385.500871883,53079.2480987385,18456.4528187614,0,336127.510646924,663687.472272205,97811.3980636424,151813.927367044,716845.989192025,115594.98320988,682283.495065243,575384.232849641,298803.766811867,282348.42616306,579334.687495875,29777.6350234335,57849.9882055076,746288.120039224,556016.716094552,735292.304518097,406546.163636833,199278.151188527,656049.715539312,595280.608908038,698799.623391343,612971.318510487,668583.151365125
"GNQ",193390.710186975,250315.636353912,139153.622837395,197871.158163358,337546.427828443,138871.384184673,209495.835032671,57505.5927952913,173475.146450744,68129.9717428385,387103.819614783,371044.804439875,33764.6764663461,162097.324045169,283052.727579839,347024.160469052,336127.510646924,0,340384.423284903,249606.799302763,256986.664594918,387220.966149958,339590.867038408,348970.203553501,306010.327036409,194854.707384905,101368.7077302,246982.27852113,341514.930258973,285659.121269412,441728.368717164,256362.24923582,431730.412905844,196815.583797172,142993.7008911,320572.701099203,272306.043287311,418725.054226046,285156.437186961,349482.407227534
"KEN",297063.058065226,109112.611674504,451086.979224136,506870.702397426,328703.901566417,226591.888335682,542401.648539284,316274.922614988,181118.063744141,280364.703271929,183319.844051561,101666.842803487,322554.839178185,489983.508313912,612009.275845028,671015.942981752,663687.472272205,340384.423284903,0,586531.925170332,544758.845717626,221850.022174818,631573.529975366,180347.710545347,375269.169622558,404381.160563693,382618.285664636,102650.835796547,662069.106064717,619506.971505479,119908.375622094,123779.376456761,344761.152829196,296745.295076373,464705.010476472,94022.4476634826,68696.1498399977,395477.200564644,212941.892560284,261154.147362355
"LBR",402159.420111989,499921.163182141,148155.95466592,117119.53511312,535653.602294652,366334.898190346,48202.0778950976,271567.771212016,422718.225484542,316263.675477923,594579.10516655,601075.285890797,274983.211560932,101232.229703853,53263.7874654397,114011.522050836,97811.3980636424,249606.799302763,586531.925170332,0,151524.385654384,622656.527578834,171053.490443747,589875.289065727,477710.332951507,263255.989872172,216847.812833122,496341.379548596,116347.668754604,40160.2741680371,678511.802787224,487502.306397337,637644.581960608,356869.570268886,128879.145050923,569747.429299424,517853.604776646,601145.968326365,518763.036288572,572364.277744197
"MLI",447055.104951567,482544.542584381,118707.249695171,66173.826965211,591009.563221833,319665.497721131,122499.993599572,244381.466386518,415254.298477994,321093.16408155,503580.965240603,531162.389612954,290445.516447905,119422.927116049,122798.996180124,148929.480574122,151813.927367044,256986.664594918,544758.845717626,151524.385654384,0,640904.915939967,87466.3853581076,599672.539852254,549057.859938027,152562.764420377,169919.465032935,473882.940625735,134908.11590996,146990.039260549,613300.409549301,427911.675352253,687769.989208413,265098.752523248,121929.582694964,555533.987485596,478748.781188699,668551.145838219,540772.438542935,606408.657234327
"MOZ",226392.431962803,184911.326758431,525572.569478765,584794.33484565,150695.282484571,347678.927508825,590258.664336768,398203.273088944,229965.681457808,320484.137640462,405036.594484262,323140.721980129,355582.87091479,547751.666770038,664348.190660121,729740.80321386,716845.989192025,387220.966149958,221850.022174818,622656.527578834,640904.915939967,0,725826.576606955,48098.1291635437,222975.882788763,534858.85335637,472553.153250876,200258.27683618,725951.498760385,661967.671259565,313611.161060316,309664.167607258,125452.023822538,452625.042602515,530168.831169815,133315.700606741,234906.799025931,187897.378789946,103915.714760878,71298.1031144114
"MRT",525485.808430547,569865.380562022,200499.134228332,141980.923728671,668145.326003857,406991.784767695,166278.196004535,331061.769300305,501791.378240602,405384.640252175,581405.779450566,614276.577362504,372444.641464053,187408.546524838,121316.769521798,102724.412669814,115594.98320988,339590.867038408,631573.529975366,171053.490443747,87466.3853581076,725826.576606955,0,685445.160702125,620959.852174977,233541.513605949,256881.393033795,561314.838726397,87267.98884841,145426.414619146,696718.626605211,513564.416548988,766914.392262722,347142.69685175,198565.749385096,642865.190708564,565915.625620443,742679.548753051,624623.381402484,688580.616387765
"MWI",203943.696147927,136879.740196874,485946.889070001,545378.808428035,162865.881558571,301095.201399449,555223.8459142,355793.508562984,185758.948162997,281278.57879054,362260.440554265,282001.229946172,318500.066302214,510707.356724763,629421.087637683,694425.033396961,682283.495065243,348970.203553501,180347.710545347,589875.289065727,599672.539852254,48098.1291635437,685445.160702125,0,226919.429856046,489325.87305403,430383.070141683,152166.107389619,689818.996261864,628582.848254597,281111.794520475,262055.028749225,164576.868438014,405068.012456614,491811.270065086,88244.0055297332,187694.558044903,217661.540087792,77460.4552639437,85392.8508896308
"NAM",121791.517205326,277959.448828436,432322.914025601,483720.377146491,75898.877411052,357036.334447632,460108.656700287,348093.414249873,250272.321490412,264073.448710313,532998.287421122,467562.071083652,273850.991744788,433933.974951198,528078.373055077,591687.530766582,575384.232849641,306010.327036409,375269.169622558,477710.332951507,549057.859938027,222975.882788763,620959.852174977,226919.429856046,0,498212.795530093,407377.344360497,292118.494033774,592776.877546203,517534.726130988,491808.607255435,397010.569610298,170378.588598392,463450.152133721,427141.823185846,287361.129794792,344691.686483721,123442.696272136,164431.596295164,151680.625072042
"NER",380248.342517509,359446.14276175,127885.15225868,147225.003822178,520546.605372487,190026.316353785,217001.142121125,150863.440306705,305301.530292168,237111.98004116,351069.716511225,380759.878041432,225049.905174012,172966.418687341,258234.433602386,298945.738531763,298803.766811867,194854.707384905,404381.160563693,263255.989872172,152562.764420377,534858.85335637,233541.513605949,489325.87305403,498212.795530093,0,98110.0741555542,347850.930849066,285905.892313933,277247.870350729,463235.204783887,282966.908115046,606173.777140416,113601.424869639,149233.435770491,430521.644812138,342136.424928569,604815.388274526,443926.281857121,515307.597524328
"NGA",293568.840133937,313228.153470545,70279.692896747,124277.951197173,437055.705210452,156227.346957558,169026.273218548,74613.1813716167,245434.454508633,156117.755289743,378298.652374487,385728.622557293,134093.023592527,115618.59959931,232155.351184835,288701.848397723,282348.42616306,101368.7077302,382618.285664636,216847.812833122,169919.465032935,472553.153250876,256881.393033795,430383.070141683,407377.344360497,98110.0741555542,0,305250.528592822,279464.449652052,243459.331849578,464883.947093865,274020.664062985,528648.962620918,146072.170072147,87992.6934487413,386221.315064338,314801.202002376,519267.882713132,374358.859588129,442515.651044404
"RWA",199394.007628962,16482.0430580633,369701.851842424,428019.802933733,260350.661336801,158039.111422127,454559.56171865,233119.256505319,79226.3314464574,182839.225638056,241234.920917851,177746.059565283,225352.225866228,403980.227963256,526640.623639889,588467.901810819,579334.687495875,246982.27852113,102650.835796547,496341.379548596,473882.940625735,200258.27683618,561314.838726397,152166.107389619,292118.494033774,347850.930849066,305250.528592822,0,581041.76854836,531472.259521965,220386.882900562,115019.992763414,304704.842641153,255170.845372393,380558.926436978,82753.9055493411,52663.1062050336,338574.936073459,144179.108172493,210365.700079232
"SEN",511281.583986803,587145.854842165,211666.630494948,155324.005347924,648427.127577094,435653.337347121,136503.16999793,348215.670838908,513283.795623106,409635.145911466,636573.266001375,659025.815871905,371319.849688847,179421.524748421,64705.8838971951,15717.1339000571,29777.6350234335,341514.930258973,662069.106064717,116347.668754604,134908.11590996,725951.498760385,87267.98884841,689818.996261864,592776.877546203,285905.892313933,279464.449652052,581041.76854836,0,78806.8789619604,740242.008660231,551185.206617227,749931.354199913,396270.651352846,200779.105877729,659338.530789235,594103.698205336,716188.961106592,622347.691341606,680221.936151101
"SLE",442139.065537237,535692.767515971,173270.054541677,130587.604823505,575798.812354281,396680.679113181,77144.2532397494,303379.933642577,459121.33282787,353024.949324695,617890.733336402,629180.58961789,312318.369652863,129887.52519609,25576.4503322495,74643.0193074659,57849.9882055076,285659.121269412,619506.971505479,40160.2741680371,146990.039260549,661967.671259565,145426.414619146,628582.848254597,517534.726130988,277247.870350729,243459.331849578,531472.259521965,78806.8789619604,0,707939.634856078,516832.563445236,677800.047143958,377817.486175253,156364.206673259,606226.036088399,550827.865910002,640949.653954757,558053.188370039,612272.234280819
"SOM",416949.322914503,228492.490944328,535143.698066106,586161.84199072,439685.137215407,312259.075423221,632028.430991293,407750.236967794,296295.381342918,388062.392019209,143395.39721744,82542.0161185362,428864.994473009,578456.287543277,696963.831427283,751038.195223286,746288.120039224,441728.368717164,119908.375622094,678511.802787224,613300.409549301,313611.161060316,696718.626605211,281111.794520475,491808.607255435,463235.204783887,464883.947093865,220386.882900562,740242.008660231,707939.634856078,0,191132.674935709,438944.602842214,349675.060760129,551597.922908086,204841.355046345,175968.630180873,498453.021984131,327703.817868835,366156.965744648
"SSD",289571.058990949,131494.880135904,344214.854738923,396314.073747953,373125.324569878,121715.555554538,440906.602596832,217588.582034274,150613.51030417,212260.342277397,143804.187742521,115096.52676283,249130.18886066,387325.467696001,506176.004992067,561435.853229878,556016.716094552,256362.24923582,123779.376456761,487502.306397337,427911.675352253,309664.167607258,513564.416548988,262055.028749225,397010.569610298,282966.908115046,274020.664062985,115019.992763414,551185.206617227,516832.563445236,191132.674935709,0,419281.212077574,173301.130815172,360478.343973037,179088.080389906,75508.1846179388,453018.620055291,258604.143740087,325326.71955988
"SWZ",241431.42346338,288265.810293063,569084.323037117,625515.088028013,102194.156130566,431134.590997964,614197.900905361,458381.113040935,308301.811324936,372821.40521005,526785.480616359,446424.053416063,397992.632107124,580504.740537946,685570.853655615,750588.903795611,735292.304518097,431730.412905844,344761.152829196,637644.581960608,687769.989208413,125452.023822538,766914.392262722,164576.868438014,170378.588598392,606173.777140416,528648.962620918,304704.842641153,749931.354199913,677800.047143958,438944.602842214,419281.212077574,0,541138.663757186,568530.15695414,252587.52715123,347798.461111234,75080.8465772255,167825.742514216,95597.1662125216
"TCD",341691.118710401,269117.513170257,209308.461097221,248205.509778698,468396.274496925,110511.934769692,308716.728794582,139310.997734099,232926.632305473,204511.980911909,241051.445477756,267177.252448151,214314.241885011,257377.777990801,361843.416411594,408504.701047127,406546.163636833,196815.583797172,296745.295076373,356869.570268886,265098.752523248,452625.042602515,347142.69685175,405068.012456614,463450.152133721,113601.424869639,146072.170072147,255170.845372393,396270.651352846,377817.486175253,349675.060760129,173301.130815172,541138.663757186,0,229928.975920984,335501.622000165,239110.162559205,553964.051283218,373557.693827643,446272.68736126
"TGO",327169.290247114,386404.215600738,21624.1175584852,57102.3369714443,470456.720991887,240479.697171791,81050.9653651547,148655.679714028,312720.067568451,210554.614788136,465878.714300011,473150.782583637,174876.254504159,27723.3756865306,147304.278562449,207910.181565965,199278.151188527,142993.7008911,464705.010476472,128879.145050923,121929.582694964,530168.831169815,198565.749385096,491811.270065086,427141.823185846,149233.435770491,87992.6934487413,380558.926436978,200779.105877729,156364.206673259,551597.922908086,360478.343973037,568530.15695414,229928.975920984,0,458561.109893218,396183.832096648,546980.344672892,427753.279333817,490352.641278792
"TZA",226117.242286923,73003.1138705103,448961.450695276,507837.598906531,235956.235820014,240790.169942568,529947.809819983,312994.083876476,147105.838286141,253492.226987986,274222.222643185,195047.97125498,295159.803709228,480850.227347727,603067.999449788,666049.532749529,656049.715539312,320572.701099203,94022.4476634826,569747.429299424,555533.987485596,133315.700606741,642865.190708564,88244.0055297332,287361.129794792,430521.644812138,386221.315064338,82753.9055493411,659338.530789235,606226.036088399,204841.355046345,179088.080389906,252587.52715123,335501.622000165,458561.109893218,0,103583.438263014,301467.278671349,122986.314800747,167142.361242944
"UGA",250512.236495057,67011.7658980365,382835.895979305,439074.664800583,310760.227705568,159364.200858143,473716.036765826,247663.188256962,120955.340537724,213994.584882341,189176.345315283,125783.238365484,255753.577050814,421352.555026673,543479.207846254,602833.874778277,595280.608908038,272306.043287311,68696.1498399977,517853.604776646,478748.781188699,234906.799025931,565915.625620443,187694.558044903,344691.686483721,342136.424928569,314801.202002376,52663.1062050336,594103.698205336,550827.865910002,175968.630180873,75508.1846179388,347798.461111234,239110.162559205,396183.832096648,103583.438263014,0,386805.298270915,193450.996822674,255644.178119432
"ZAF",225722.738413209,322276.143238425,550631.020045298,603926.833104782,85610.3888424762,443708.576982509,583129.383842069,454106.565053009,324024.410775556,367709.618755071,572849.761488961,496245.069800801,385349.595450549,555317.128468079,651486.227654905,715128.312913679,698799.623391343,418725.054226046,395477.200564644,601145.968326365,668551.145838219,187897.378789946,742679.548753051,217661.540087792,123442.696272136,604815.388274526,519267.882713132,338574.936073459,716188.961106592,640949.653954757,498453.021984131,453018.620055291,75080.8465772255,553964.051283218,546980.344672892,301467.278671349,386805.298270915,0,194450.830195816,134324.925273111
"ZMB",126612.334560597,127955.730063565,424125.765085519,483026.25264234,117718.417067801,263948.727117265,486478.749348542,300968.436949403,141180.796816531,219684.980338867,381675.337380194,309453.929012876,252887.944049265,444603.392099411,560526.588923552,625960.321845487,612971.318510487,285156.437186961,212941.892560284,518763.036288572,540772.438542935,103915.714760878,624623.381402484,77460.4552639437,164431.596295164,443926.281857121,374358.859588129,144179.108172493,622347.691341606,558053.188370039,327703.817868835,258604.143740087,167825.742514216,373557.693827643,427753.279333817,122986.314800747,193450.996822674,194450.830195816,0,72735.538594657
"ZWE",170355.529997965,193884.230322928,488511.118583846,546602.204991355,80364.1635413177,336671.934650086,543726.006067037,370203.851633545,213867.061042546,286583.307699688,439367.640684911,361989.940669396,316255.110419241,505172.323870839,617033.239609817,682608.250552045,668583.151365125,349482.407227534,261154.147362355,572364.277744197,606408.657234327,71298.1031144114,688580.616387765,85392.8508896308,151680.625072042,515307.597524328,442515.651044404,210365.700079232,680221.936151101,612272.234280819,366156.965744648,325326.71955988,95597.1662125216,446272.68736126,490352.641278792,167142.361242944,255644.178119432,134324.925273111,72735.538594657,0
