"WASH_variable","Optimized_weight"
"Piped Water",0.356
"Septic or Sewer Sanitation",0.014
"Other Improved Water",0
"Other Improved Sanitation",0
"Surface Water",0.504
"Unimproved Sanitation",0
"Unimproved Water",0
"Open Defecation",0.126
