"year","country","request_number","status","context","decision_date","doses_requested","doses_approved","doses_shipped","campaign_date","id","iso_code","delay"
2016,"Niger",20161,"Approved","Humanitarian crisis",2016-01-14,195132,195132,195160,2016-02-13,7,"NER",30
2016,"Malawi",20162,"Approved","Outbreak response",2016-01-25,160000,160000,160020,2016-02-16,3,"MWI",22
2016,"Malawi",20163,"Approved","Outbreak response",2016-02-24,40000,40000,40005,2016-04-08,4,"MWI",44
2016,"Zambia",20164,"Approved","Outbreak response",2016-03-28,598131,598131,598150,2016-04-09,10,"ZMB",12
2016,"South Sudan",20165,"Approved","Humanitarian crisis",2016-04-01,72430,72430,72450,2016-05-10,8,"SSD",39
2016,"Mozambique",20166,"Approved","Outbreak response",2016-08-11,425486,425486,425490,2016-10-03,6,"MOZ",53
2016,"Zambia",20168,"Approved","Outbreak response (2nd dose)",2016-08-15,293703,293703,293720,2016-10-05,11,"ZMB",51
2016,"Democratic Republic of Congo",20169,"Approved","Outbreak response",2016-09-02,680740,680740,680750,2016-09-30,1,"COD",28
2017,"South Sudan",20171,"Partially approved","Outbreak response",2017-02-18,304098,68967,69125,2017-02-27,25,"SSD",9
2017,"South Sudan",20172,"Approved","Outbreak response",2017-03-07,474976,474976,474985,2017-03-15,26,"SSD",8
2017,"Somalia",20173,"Approved","Outbreak response",2017-04-05,264600,264600,718200,2017-05-19,21,"SOM",44
2017,"Somalia",20173,"Approved","Outbreak response",2017-04-05,988042,907202,453600,2017-05-02,22,"SOM",27
2017,"Mozambique",20174,"Approved","Outbreak response",2017-04-05,NA,NA,329630,2017-05-19,15,"MOZ",44
2017,"Mozambique",20174,"Approved","Outbreak response",2017-04-05,709077,709077,354550,2017-05-08,16,"MOZ",33
2017,"Malawi",20175,"Approved","Outbreak response",2017-04-07,240000,240000,120000,2017-06-26,14,"MWI",80
2017,"Sierra Leone",20179,"Approved","Humanitarian crisis",2017-08-31,1036209,1036209,1036300,2017-09-15,20,"SLE",15
2018,"Malawi",20182,"Approved","Outbreak response",2018-03-02,500600,500600,500600,2018-04-15,34,"MWI",44
2018,"Malawi",20182,"Approved","Outbreak response",2018-03-02,500600,500600,500600,2018-04-17,35,"MWI",46
2018,"Nigeria",20184,"Approved","Outbreak response",2018-04-12,1315152,1182988,1183000,2018-05-09,38,"NGA",27
2018,"Nigeria",20185,"Approved","Outbreak response",2018-05-04,291000,252872,252900,2018-05-09,39,"NGA",5
2018,"Nigeria",20187,"Approved","Outbreak response",2018-06-13,757630,757630,757800,2018-07-10,40,"NGA",27
2018,"South Sudan",20188,"Approved","Humanitarian crisis",2018-06-18,105886,96250,96250,2018-06-13,41,"SSD",-5
2019,"Mozambique",20191,"Approved","Humanitarian crisis",2019-03-22,1769906,1769906,884975,2019-04-03,57,"MOZ",12
2019,"Mozambique",20191,"Approved (2nd round)","Humanitarian crisis",2019-06-14,NA,NA,849485,2019-07-07,58,"MOZ",23
2019,"Zimbabwe",20192,"Approved","Humanitarian crisis",2019-04-03,975646,975646,975650,2019-04-16,68,"ZWE",13
2019,"Cameroon",20193,"Approved","Outbreak response",2019-04-15,1348278,1297538,680960,2019-08-01,46,"CMR",108
2019,"Cameroon",20193,"Approved (2nd round)","Outbreak response",2019-04-15,NA,NA,616595,2019-05-29,47,"CMR",44
2019,"Cameroon",20193,"Approved (change in strategy)","Outbreak response",2019-04-15,1126000,1126000,691200,2019-05-29,48,"CMR",44
2019,"Democratic Republic of Congo",20195,"Partially approved","Outbreak response",2019-04-15,2119078,1670366,835190,2019-05-28,51,"COD",43
2019,"Democratic Republic of Congo",20195,"Partially approved (2nd Round)","Outbreak response",2019-04-15,NA,NA,835190,2019-10-30,52,"COD",198
2019,"Zambia",20196,"Approved","Outbreak response",2019-04-23,136834,136834,136840,2019-05-22,65,"ZMB",29
2019,"Zambia",20196,"Approved (change in strategy)","Outbreak response",2019-04-23,131840,111244,111250,2019-07-17,66,"ZMB",85
2019,"Mozambique",20198,"Partially approved","Outbreak response",2019-05-02,1854444,518998,519000,2019-05-16,59,"MOZ",14
