"iso_code","country","mean","sd","ci_lo","ci_hi","shape1","shape2","population"
"MRT","Mauritania",0.00020628149754059,7.10637030399168e-06,0.000193353476186475,0.000221340405597139,842.432630116695,4083055.73642854,4147819
"MWI","Malawi",0.00021054805236068,3.39791242930376e-06,0.000203470955665062,0.000216870800448354,3838.72162587638,18228206.5660715,17796890
"NAM","Namibia",0.00309845880676944,3.33960580977603e-05,0.00303437488129134,0.0031663585523669,8581.3012468892,2760957.29263113,2472326
"NER","Niger",5.92584646571096e-05,1.65496846169889e-06,5.59636065798934e-05,6.25523999440042e-05,1282.02233004054,21633134.891081,21062672
"NGA","Nigeria",4.99705896403364e-05,5.16549309316726e-07,4.90210040029109e-05,5.09754542538845e-05,9358.01361902313,187261068.178617,197862099
"RWA","Rwanda",0.000329982246380177,5.30805225246326e-06,0.000319136123563966,0.000340532570768613,3863.37976127492,11703977.8864136,12059717
"SEN","Senegal",0.000472991340827242,5.42098524046842e-06,0.000462883577511973,0.000483935429260688,7609.29528062636,16079990.2521403,15255010
"SLE","Sierra Leone",0.000127843385108365,4.11131269545862e-06,0.000119882530531754,0.000136605822320908,966.80730222815,7561468.28786243,7292048
"SOM","Somalia",9.8804590124681e-05,2.62171351177129e-06,9.37230682137811e-05,0.000104013113538855,1420.17163577562,14372118.8915142,14658320
"SSD","South Sudan",0.000176467598805337,4.18801566043291e-06,0.000168208551946761,0.000184069576083404,1775.15659294359,10057615.9438763,10558287
"SWZ","Eswatini",0.000376131196686425,1.77444855932951e-05,0.000342314438414288,0.000413613444937357,449.146621957811,1193673.07965075,1152879
"TCD","Chad",8.6754139636781e-05,2.39917735442013e-06,8.16903766337837e-05,9.16123051599941e-05,1307.4286572739,15069197.1345577,15367145
"TGO","Togo",0.000212076739754901,5.02280718616979e-06,0.000202015363654517,0.000222668689369162,1782.38245176261,8402639.78012263,7956981
"TZA","Tanzania",0.000154218499185485,1.54770518272756e-06,0.000151230616983306,0.000157368842046523,9927.26197415814,64361481.0099883,54729864
"UGA","Uganda",0.000176892354825275,2.19386580745204e-06,0.00017298088018672,0.000181639211824161,6500.11687920711,36739671.7887839,39485615
"ZAF","South Africa",0.00065762004666372,3.3453917390804e-06,0.000651053961966056,0.000663872548384272,38616.2791124888,58682645.8058854,57140601
"ZMB","Zambia",0.000397676945666544,4.42128648504123e-06,0.00038913082378269,0.000406133307777503,8087.06159920355,20327669.6055339,17176111
"ZWE","Zimbabwe",0.000597288556051614,6.85466770075368e-06,0.000584645503185521,0.000610111629289273,7588.1527528305,12696744.91365,14704586
