"iso_code","country","mean","sd","ci_lo","ci_hi","shape1","shape2","population"
"AGO","Angola",0.000147292352654721,2.30418712029366e-06,0.000143181860940622,0.000151955590599339,4085.64774527486,27734270.5644903,29706124
"BDI","Burundi",0.000113935135473363,3.29557610108217e-06,0.000107726692126558,0.000121584174561621,1195.09693050682,10488079.5727452,11363999
"BEN","Benin",0.000421642356372092,6.33775565689689e-06,0.000410533261226413,0.00043466656031515,4424.19523213086,10488343.3488013,11868036
"BFA","Burkina Faso",0.000119366370813861,2.42043629271204e-06,0.000114660739307678,0.000123708313504937,2431.78291387598,20369997.2127542,19616809
"BWA","Botswana",0.0017545920095676,2.67818779197553e-05,0.00170458955905159,0.0018074084928977,4284.57141085809,2437634.34050415,2250626
"CAF","Central African Republic",0.000202975849643823,7.09805522952298e-06,0.000189674916841661,0.000217209900399461,817.563924057979,4027070.11578078,4758570
"CIV","Côte d’Ivoire",0.000284989993278273,3.49640384629341e-06,0.000278566574331106,0.000291860153907353,6641.898548532,23299083.5837025,26366506
"CMR","Cameroon",0.000255398009453924,3.27344129635313e-06,0.000249303436597511,0.000262061329458842,6085.76182853262,23822454.8033263,23799317
"COD","Democratic Republic of Congo",3.39233757800505e-05,6.23839115831198e-07,3.27770725239667e-05,3.51401162594288e-05,2956.91052963387,87161438.1899354,85553637
"COG","Congo",0.000624125652684285,1.0616156473481e-05,0.000602874984804237,0.00064421204827097,3454.12640702841,5530890.42772666,5285827
"ERI","Eritrea",4.35778510325432e-05,3.92917497266491e-06,3.67092881741467e-05,5.1160732681794e-05,123.001328403051,2822442.25805522,3133491
"ETH","Ethiopia",5.55011143281337e-05,7.33690375835269e-07,5.4173273904751e-05,5.69638896010425e-05,5722.07640298566,103092683.644888,108181043
"GAB","Gabon",0.0019359488704902,2.84079829838438e-05,0.00187743298166682,0.00198915704351586,4635.1650137075,2389624.87168542,2129163
"GHA","Ghana",0.000268371209126352,3.22683462235381e-06,0.00026218154962806,0.000274596577398442,6915.15382031891,25760207.3435232,29690208
"GIN","Guinea",0.000191506331406932,3.74893675983748e-06,0.000183977391593537,0.00019973222612169,2608.95648002976,13620734.255531,12228243
"GMB","Gambia",0.000635349453106953,1.6383303956761e-05,0.000607445811842935,0.000669577677740465,1502.9555737779,2364054.4025513,2313200
"GNB","Guinea-Bissau",0.000236194817850434,1.11927951970991e-05,0.000214559305438886,0.00026016442216672,445.205780692931,1884463.97531255,1854605
"GNQ","Equatorial Guinea",0.000932924925167875,2.55048119154121e-05,0.000883878405905102,0.000977235623296613,1336.72935690751,1431500.27697238,1535327
"KEN","Kenya",0.000341977678049853,2.54655091607698e-06,0.000337415404974153,0.000346814293308951,18027.7795161829,52698218.5526636,48679225
"LBR","Liberia",0.00015538396745431,5.87461324470456e-06,0.00014435210610895,0.000165932866839234,699.49766333872,4501036.90924366,4801639
"LSO","Lesotho",0.000254194420391574,1.05947920350734e-05,0.000230898908245552,0.000274545286543952,575.488372255763,2263393.84411447,2143732
"MLI","Mali",0.000182032235308191,3.01013888981045e-06,0.000175885752459521,0.000187728458561954,3656.32212532849,20082468.0895104,19498990
"MOZ","Mozambique",0.000140497571273314,2.193207535637e-06,0.00013602604146158,0.000144507256929725,4103.14758591639,29200299.0974494,27740616
