"","AGO","BDI","BEN","BFA","BWA","CAF","CIV","CMR","COD","COG","ERI","ETH","GAB","GHA","GIN","GMB","GNB","GNQ","KEN","LBR","MLI","MOZ","MRT","MWI","NAM","NER","NGA","RWA","SEN","SLE","SOM","SSD","SWZ","TCD","TGO","TZA","UGA","ZAF","ZMB","ZWE"
"AGO",NA,0.0273938501388916,0.0133562374931941,0.0146583413726466,0.0145332015654826,0.0119846980276546,0.0181557999836081,0.0334001507377845,0.144139691471239,0.0251015615911658,0.00406613073941013,0.0428995657483077,0.0124288808444482,0.0223874733185627,0.00890037915157014,0.00266085354878796,0.00241704182546957,0.00785007817444879,0.036180455250194,0.0058088629707149,0.0118646182958785,0.0357979137095911,0.00367578713819269,0.0316987924790068,0.0197541603058011,0.0155719876837972,0.0873124679416569,0.0264675003786881,0.00848826590006231,0.00659414138273751,0.0109529400605047,0.0147587903529292,0.00468606977630451,0.0148640692543045,0.0105035930827406,0.0557981544708128,0.0402187379667789,0.0574672019394738,0.0593692271605597,0.0358323267665981
"BDI",0.019405403189231,NA,0.00435676131352151,0.00485252524311454,0.00283061640428314,0.00739593453937687,0.00542918938971282,0.0123300226113109,0.123495711616438,0.00701962558128961,0.00325771099713918,0.0427417419879522,0.00303687454571818,0.00682613979327706,0.00276922895967542,0.000855138903107158,0.000765111225697971,0.00217584709499598,0.0559556187006284,0.0017043217766564,0.00417295337832483,0.0192832864713019,0.00128168753485793,0.0221468106771366,0.00249584381453007,0.00655868224513713,0.0313609902536845,0.311702451233667,0.00275636292031603,0.00200066068127485,0.00980378040280178,0.0170302870690671,0.00150704668788862,0.0080591350325906,0.00329286236950124,0.103538987637473,0.095590104411253,0.0141185848021414,0.0237961086587375,0.0122998498451877
"BEN",0.0100382362339352,0.00462239922509192,NA,0.0784320765385928,0.00125300054278639,0.00539393535023677,0.046503586211852,0.0286601721882412,0.0212525805911393,0.00660966337906774,0.00161570692129221,0.0139610140009084,0.00480525549843742,0.135266217619723,0.0149629636626465,0.00353729691470155,0.00324218064886129,0.00525238840027063,0.00878539894554941,0.00961235980734208,0.0306129420071459,0.00504173983031986,0.0057303472991452,0.0042861441318392,0.00150285025666522,0.0289107807016727,0.25701708273967,0.00490889543703707,0.011822921280704,0.00998836383888327,0.00331492486846921,0.00493450401123957,0.000640979514652428,0.012042985844237,0.180082425427452,0.00952444708497163,0.00965507799253885,0.00734700998267589,0.00505272426296961,0.00377642080703588
"BFA",0.0110018189628558,0.00514135830193746,0.0783249447116031,NA,0.00146335522595648,0.00542351915545776,0.0957052885710845,0.0239155760648667,0.0226016971662169,0.00634008397816043,0.00192379764554663,0.0163839805450772,0.00438098422369352,0.15984774649549,0.0327780704937655,0.00704833563916202,0.00643316210850204,0.00440699838809522,0.0101457258265844,0.0179986629639131,0.0929616266443746,0.00591953296589354,0.0124326969339969,0.00497181605322566,0.00174998961442943,0.0317584698987789,0.160121525416483,0.00544764433776889,0.0242819014073585,0.0198817522592567,0.00395767665270246,0.00550541710541466,0.000765118173633913,0.012848343987639,0.0654353379551812,0.0109178271049483,0.0108434401492728,0.00878945808421736,0.00574522718284103,0.00440009160461401
"BWA",0.065212391258288,0.0179299984819807,0.00748077872109216,0.00874860742181059,NA,0.00627757993849406,0.0108452254549327,0.016035698247313,0.0638282173408917,0.0091526425818684,0.00308235569025739,0.0333525653119543,0.00475931341772997,0.0127641072280574,0.0056769901299974,0.0017727595092169,0.00159948577363338,0.0033785538634025,0.0290624917250017,0.00359378702936463,0.00746839502299979,0.056028532865967,0.00244093207788567,0.0395567537204507,0.0312926499190627,0.00936180915862141,0.0467536410834723,0.0170810868082853,0.00563670909576281,0.00420989651045716,0.00936527812895822,0.00966742618240469,0.0132192076243401,0.00893543829003535,0.00588161323988208,0.048708437602717,0.0277479061834324,0.200802444247394,0.061948591681364,0.0893397014312205
"CAF",0.0266569872106274,0.0232224176463626,0.0159630702761551,0.0160725758335847,0.00311176929352943,NA,0.0161982543091766,0.0787050507416985,0.123940859400715,0.0253710353414907,0.00614201796213014,0.0579936497168111,0.010858337668522,0.0223162050642366,0.00777254617926317,0.00230654510660694,0.00206260446957492,0.00891129623552381,0.0380446337887856,0.00475974656773868,0.0132775451026863,0.0150313975316458,0.00367359920312796,0.0139501032976417,0.00331088860006079,0.0285468552107276,0.147474525264721,0.0264672614987641,0.00752305811249308,0.00549927606314681,0.0117254408029195,0.0345063269942246,0.00159930906324932,0.0499646536105065,0.0114660828812308,0.0376817615335741,0.0540078742342451,0.0168554543721602,0.0163599671126085,0.010669016697733
"CIV",0.0129108357014674,0.00545009862755013,0.0439999447780243,0.0906766024596911,0.00171873420875086,0.0051787292963536,NA,0.0222832937074192,0.0240225119382853,0.00676865355247085,0.00190182526623429,0.0165844940358427,0.00479184864151798,0.180346201002799,0.0673247201732167,0.0102426181271627,0.0101575245843535,0.00464155200152509,0.0105709189946751,0.0685682438419161,0.0458428968474602,0.00662800032347728,0.0116735393429005,0.00551103460030395,0.00211901938637282,0.0215784351778225,0.120634209276642,0.00572642915952032,0.0335311367769753,0.0465228558977898,0.00409106244987967,0.00545371236734676,0.000885363498920151,0.0109875539874614,0.0458873091925797,0.0117373216579457,0.0111733716322796,0.010398022405119,0.00645974406522687,0.00501963101472043
"CMR",0.0237839767547463,0.0123945374187529,0.0271544844099142,0.0226901427737922,0.00254480841163334,0.0251973390826016,0.0223139504639704,NA,0.0678416188536177,0.0311551499054143,0.00344484431649028,0.0313635292820508,0.0202779261713793,0.0343966992707537,0.0096404107572187,0.00268637826961276,0.00242841355850367,0.0254426723763538,0.0207522620448363,0.00614617206833524,0.0165357209859842,0.0106872365183785,0.00420418224590226,0.00951726214398753,0.00294015347381624,0.0340147174865701,0.347929198103213,0.0133826359819586,0.00878263498471356,0.00680791718096414,0.00700662500214642,0.0134501670706154,0.00125444285522959,0.0311142210950309,0.0189683154210501,0.0226251105765329,0.0254499740305123,0.0139474038906765,0.0117140983701175,0.00801266639262217
"COD",0.0572670342756403,0.0692633330341187,0.0112346487072932,0.011964167744253,0.00565151638538211,0.0221386757694262,0.013421484602918,0.0378513402908254,NA,0.0286273157527699,0.0052238409821016,0.0589605539150288,0.0104291435213697,0.0173618312380725,0.00658811057737329,0.0019827580377456,0.00178306307224403,0.00692262763194114,0.0542395273785538,0.00413598952100427,0.00990016443593338,0.0275037389016791,0.0029475187558345,0.0280804270786164,0.00560951253899566,0.015865177507327,0.0844627760576379,0.0710155842575869,0.00639411797272669,0.00476671771848827,0.0132933657583594,0.0273228374270405,0.00264259238146272,0.0189972850547753,0.00848327407762393,0.0770415311458219,0.0826501585542893,0.0271219613986412,0.040145475619757,0.0207088209193414
"COG",0.050084371100231,0.0197717831030221,0.0175471887459585,0.0168545372152872,0.00406985708627079,0.0227591326498464,0.0189917421577702,0.0872961890731176,0.143767595190497,NA,0.0036935320044762,0.0365598758380891,0.0523012164670417,0.0263086363472809,0.00858154039152178,0.00245334369987154,0.00222680379606292,0.0225358077391861,0.0273217228606448,0.00559868647078805,0.0128364779550306,0.0159252201476708,0.00359918313202518,0.0145474965516013,0.00477486076177999,0.0205043458102127,0.142805895976989,0.0207835637232777,0.007925037406807,0.00621546559721376,0.00839831128970827,0.0156047037654015,0.00184466439068573,0.020696807084314,0.0132583957345767,0.0335658391006322,0.0347070976333951,0.0206984404558485,0.0199795052065755,0.0126051263392907
