"variable_name","variable_description","parameter_distribution","i","j","t","parameter_name","parameter_value"
"b","Population birth rate per day as of 2023","point",NA,"BDI",NA,"mean",9.35049317216208e-05
"b","Population birth rate per day as of 2023","point",NA,"COM",NA,"mean",7.92577227691001e-05
"b","Population birth rate per day as of 2023","point",NA,"DJI",NA,"mean",5.7296611356231e-05
"b","Population birth rate per day as of 2023","point",NA,"ERI",NA,"mean",7.89159231572669e-05
"b","Population birth rate per day as of 2023","point",NA,"ETH",NA,"mean",8.85507146183303e-05
"b","Population birth rate per day as of 2023","point",NA,"KEN",NA,"mean",7.5001281842367e-05
"b","Population birth rate per day as of 2023","point",NA,"MDG",NA,"mean",8.90238522781135e-05
"b","Population birth rate per day as of 2023","point",NA,"MWI",NA,"mean",8.70976314627446e-05
"b","Population birth rate per day as of 2023","point",NA,"MUS",NA,"mean",2.53712765746739e-05
"b","Population birth rate per day as of 2023","point",NA,"MOZ",NA,"mean",0.000104234520502841
"b","Population birth rate per day as of 2023","point",NA,"RWA",NA,"mean",7.85196743037146e-05
"b","Population birth rate per day as of 2023","point",NA,"SYC",NA,"mean",3.77135633240787e-05
"b","Population birth rate per day as of 2023","point",NA,"SOM",NA,"mean",0.000119846159541872
"b","Population birth rate per day as of 2023","point",NA,"SSD",NA,"mean",8.06927823939079e-05
"b","Population birth rate per day as of 2023","point",NA,"UGA",NA,"mean",9.77981908593748e-05
"b","Population birth rate per day as of 2023","point",NA,"TZA",NA,"mean",9.79098664500544e-05
"b","Population birth rate per day as of 2023","point",NA,"ZMB",NA,"mean",9.19346625027669e-05
"b","Population birth rate per day as of 2023","point",NA,"ZWE",NA,"mean",8.40211489772622e-05
"b","Population birth rate per day as of 2023","point",NA,"AGO",NA,"mean",0.000104583965074757
"b","Population birth rate per day as of 2023","point",NA,"CMR",NA,"mean",9.36855284772189e-05
"b","Population birth rate per day as of 2023","point",NA,"CAF",NA,"mean",0.000129211885074268
"b","Population birth rate per day as of 2023","point",NA,"TCD",NA,"mean",0.00011956635467881
"b","Population birth rate per day as of 2023","point",NA,"COG",NA,"mean",8.49371575150156e-05
"b","Population birth rate per day as of 2023","point",NA,"COD",NA,"mean",0.00011504279478031
"b","Population birth rate per day as of 2023","point",NA,"GNQ",NA,"mean",8.20861227416711e-05
"b","Population birth rate per day as of 2023","point",NA,"GAB",NA,"mean",7.6633159562205e-05
"b","Population birth rate per day as of 2023","point",NA,"STP",NA,"mean",7.79994454811206e-05
"b","Population birth rate per day as of 2023","point",NA,"DZA",NA,"mean",5.41581276819097e-05
"b","Population birth rate per day as of 2023","point",NA,"EGY",NA,"mean",5.80740459546395e-05
"b","Population birth rate per day as of 2023","point",NA,"LBY",NA,"mean",4.68775447198174e-05
"b","Population birth rate per day as of 2023","point",NA,"MAR",NA,"mean",4.5986028234181e-05
"b","Population birth rate per day as of 2023","point",NA,"SDN",NA,"mean",9.20989005709041e-05
"b","Population birth rate per day as of 2023","point",NA,"TUN",NA,"mean",3.7788549189367e-05
"b","Population birth rate per day as of 2023","point",NA,"BWA",NA,"mean",6.8265474735039e-05
"b","Population birth rate per day as of 2023","point",NA,"SWZ",NA,"mean",6.62658339091681e-05
"b","Population birth rate per day as of 2023","point",NA,"LSO",NA,"mean",6.6425807160332e-05
"b","Population birth rate per day as of 2023","point",NA,"NAM",NA,"mean",7.17812248246114e-05
"b","Population birth rate per day as of 2023","point",NA,"ZAF",NA,"mean",5.17778513183987e-05
"b","Population birth rate per day as of 2023","point",NA,"BEN",NA,"mean",9.39962179372335e-05
"b","Population birth rate per day as of 2023","point",NA,"BFA",NA,"mean",8.76846691335121e-05
"b","Population birth rate per day as of 2023","point",NA,"CPV",NA,"mean",3.3862272724799e-05
"b","Population birth rate per day as of 2023","point",NA,"CIV",NA,"mean",8.87328541063886e-05
"b","Population birth rate per day as of 2023","point",NA,"GMB",NA,"mean",8.43373217952606e-05
"b","Population birth rate per day as of 2023","point",NA,"GHA",NA,"mean",7.27715132711414e-05
"b","Population birth rate per day as of 2023","point",NA,"GIN",NA,"mean",9.38814835296066e-05
"b","Population birth rate per day as of 2023","point",NA,"GNB",NA,"mean",8.32215150242698e-05
"b","Population birth rate per day as of 2023","point",NA,"LBR",NA,"mean",8.57647357283463e-05
"b","Population birth rate per day as of 2023","point",NA,"MLI",NA,"mean",0.000111321692877137
"b","Population birth rate per day as of 2023","point",NA,"MRT",NA,"mean",9.57200653967061e-05
"b","Population birth rate per day as of 2023","point",NA,"NER",NA,"mean",0.000116702662896213
"b","Population birth rate per day as of 2023","point",NA,"NGA",NA,"mean",9.12423883185626e-05
"b","Population birth rate per day as of 2023","point",NA,"SEN",NA,"mean",8.15596867328145e-05
"b","Population birth rate per day as of 2023","point",NA,"SLE",NA,"mean",8.47649618356566e-05
"b","Population birth rate per day as of 2023","point",NA,"TGO",NA,"mean",8.63240370019716e-05
