"","x"
"AGO",2.10182781930048e-05
"BDI",1.6199778988646e-05
"BEN",6.02251326765594e-05
"BFA",1.70210409310178e-05
"BWA",0.000248710007402052
"CAF",2.91092147398725e-05
"CIV",4.0597261980862e-05
"CMR",3.6330656727918e-05
"COD",4.83346109655253e-06
"COG",8.87511059921274e-05
"ERI",6.35173286968655e-06
"ETH",7.90330496819022e-06
"GAB",0.000275987984386876
"GHA",3.82153453112289e-05
"GIN",2.73523999085566e-05
"GMB",9.08105335215378e-05
"GNB",3.38996606705102e-05
"GNQ",0.000133095324409737
"KEN",4.86572417121589e-05
"LBR",2.2239208256394e-05
"MLI",2.59571460865059e-05
"MOZ",1.99651115258406e-05
"MRT",2.92737831962486e-05
"MWI",2.98921609243588e-05
"NAM",0.00043921689878371
"NER",8.45722659081122e-06
"NGA",7.13052916667137e-06
"RWA",4.72205460574718e-05
"SEN",6.73561614499534e-05
"SLE",1.82406894255795e-05
"SOM",1.41486699593222e-05
"SSD",2.51518619902453e-05
"SWZ",5.29056013290915e-05
"TCD",1.23554223261517e-05
"TGO",3.02414746861115e-05
"TZA",2.19358249924899e-05
"UGA",2.51951627672643e-05
"ZAF",9.27376541352271e-05
"ZMB",5.64489873349966e-05
"ZWE",8.48895791689487e-05
