"","iso3","mean","sd","Q2.5","Q97.5","Rhat","n.eff","AC5","AC10"
"tau_1","AGO",2.10182781930048e-05,8.64511137448323e-07,1.93146101880363e-05,2.2745696817843e-05,1.02,1000,0.02,0.03
"tau_2","BDI",1.6199778988646e-05,1.1964521865244e-06,1.38853709127795e-05,1.86631357367382e-05,1,1106,0.01,0.03
"tau_3","BEN",6.02251326765594e-05,2.41662687463963e-06,5.57695245824579e-05,6.50687974746891e-05,1,1072,0.05,-0.01
"tau_4","BFA",1.70210409310178e-05,9.15684662724223e-07,1.5258171248147e-05,1.88339723854908e-05,1,944,-0.06,0.03
"tau_5","BWA",0.000248710007402052,1.04511451830365e-05,0.000228319263399292,0.000269278995596047,1,1000,-0.03,-0.01
"tau_6","CAF",2.91092147398725e-05,2.48796674695232e-06,2.46869568353875e-05,3.40022071565242e-05,1.01,1000,-0.03,0.06
"tau_7","CIV",4.0597261980862e-05,1.26798578609401e-06,3.80691431745865e-05,4.29006621770564e-05,1,1209,0.02,-0.04
"tau_8","CMR",3.6330656727918e-05,1.25211743547551e-06,3.39014510958473e-05,3.88219764199526e-05,1,1044,0.07,-0.03
"tau_9","COD",4.83346109655253e-06,2.34915008177401e-07,4.40557562306642e-06,5.33276193628512e-06,1.01,876,-0.03,-0.02
"tau_10","COG",8.87511059921274e-05,4.08816415698646e-06,8.09922714753853e-05,9.66596127480775e-05,1,1165,-0.04,0.04
"tau_11","ERI",6.35173286968655e-06,1.44001888656625e-06,3.82727834923137e-06,9.5773300785524e-06,1,939,-0.06,-0.01
"tau_12","ETH",7.90330496819022e-06,2.68155216247572e-07,7.41221015398578e-06,8.43037765021395e-06,1,1005,0.01,0.01
"tau_13","GAB",0.000275987984386876,1.13086804091264e-05,0.000254677063192755,0.000298217567533577,1.01,1608,-0.04,-0.02
"tau_14","GHA",3.82153453112289e-05,1.18415537146049e-06,3.57611440406457e-05,4.0523628862682e-05,1,1107,-0.02,-0.04
"tau_15","GIN",2.73523999085566e-05,1.51648666566785e-06,2.44602900823668e-05,3.04112720761156e-05,1,1105,-0.02,-0.01
"tau_16","GMB",9.08105335215378e-05,6.0186305671882e-06,7.92020899265911e-05,0.000103748224684306,1,1000,-0.01,0
"tau_17","GNB",3.38996606705102e-05,4.3262459939761e-06,2.63258801293346e-05,4.30136278307075e-05,1,1241,-0.03,0.06
"tau_18","GNQ",0.000133095324409737,9.09108196916245e-06,0.000115097049586042,0.000151097054517042,1,958,-0.05,0
"tau_19","KEN",4.86572417121589e-05,1.01136069280192e-06,4.6623116026583e-05,5.05702960030951e-05,1,1058,-0.04,0.05
"tau_20","LBR",2.2239208256394e-05,2.12917946705823e-06,1.82506675369722e-05,2.67779624299393e-05,1,1355,0,-0.02
"tau_21","MLI",2.59571460865059e-05,1.19027953057635e-06,2.35400222970685e-05,2.83468342786654e-05,1.01,1160,0.03,0.01
"tau_22","MOZ",1.99651115258406e-05,8.39080449620516e-07,1.83798871657224e-05,2.16216893339832e-05,1.01,836,-0.02,-0.08
"tau_23","MRT",2.92737831962486e-05,2.53470740117941e-06,2.4470044950715e-05,3.43264616799592e-05,1,1253,-0.03,-0.04
"tau_24","MWI",2.98921609243588e-05,1.26530040193012e-06,2.75167718519691e-05,3.24129329865705e-05,1,955,0.04,-0.02
"tau_25","NAM",0.00043921689878371,1.30744172083083e-05,0.00041536637829209,0.000465560666855209,1,1907,0,0.03
"tau_26","NER",8.45722659081122e-06,6.49250227647435e-07,7.24131474775861e-06,9.81752819987336e-06,1,1000,-0.03,-0.03
"tau_27","NGA",7.13052916667137e-06,1.93534415064989e-07,6.73452462833624e-06,7.50738133789957e-06,1,1000,-0.01,-0.02
"tau_28","RWA",4.72205460574718e-05,1.98994270851812e-06,4.32822685578853e-05,5.12029498300014e-05,1.01,952,-0.03,-0.01
"tau_29","SEN",6.73561614499534e-05,2.08435133330808e-06,6.3245342348304e-05,7.16038086908339e-05,1,1283,-0.1,0.02
"tau_30","SLE",1.82406894255795e-05,1.5497926700748e-06,1.54048631541357e-05,2.14439093620426e-05,1,1100,-0.01,0
"tau_31","SOM",1.41486699593222e-05,9.88484108345748e-07,1.22803102759503e-05,1.6185932486947e-05,1.01,1049,0.08,-0.02
"tau_32","SSD",2.51518619902453e-05,1.50204618720753e-06,2.22367763813868e-05,2.8318497721336e-05,1,1072,0.04,-0.01
"tau_33","SWZ",5.29056013290915e-05,7.02610319665737e-06,4.07437729672875e-05,6.72383895678217e-05,1,1231,0.01,-0.04
"tau_34","TCD",1.23554223261517e-05,9.03592965391721e-07,1.06480345129305e-05,1.41273597925515e-05,1,1045,0.04,-0.01
"tau_35","TGO",3.02414746861115e-05,1.98665694969167e-06,2.6555184805999e-05,3.39200347342259e-05,1,1151,-0.03,-0.01
"tau_36","TZA",2.19358249924899e-05,6.26079753798715e-07,2.06695369323752e-05,2.32478201152806e-05,1,1207,-0.01,0.02
"tau_37","UGA",2.51951627672643e-05,8.11778293492968e-07,2.36081262756943e-05,2.6784768476509e-05,1,1144,0.04,0.05
"tau_38","ZAF",9.27376541352271e-05,1.32766760972071e-06,9.01660676240989e-05,9.53474954526104e-05,1,922,-0.02,0.01
"tau_39","ZMB",5.64489873349966e-05,1.83495461821373e-06,5.28834119807835e-05,6.01617272035947e-05,1,1000,-0.01,0
"tau_40","ZWE",8.48895791689487e-05,2.4044747554318e-06,8.02699748918913e-05,8.97333345492627e-05,1,1064,0.01,0
