"","mean","sd","Q2.5","Q97.5","Rhat","n.eff","AC10"
"gamma",1.29796268644511,0.0031339001318796,1.29144445487644,1.30394438105513,1,1091,0.02
"omega",0.638673116766316,0.00199734889942059,0.634602895939144,0.64272082369617,1,1014,-0.03
"tau",0.263671866914171,0.00050392898697475,0.262677846303081,0.264665460570387,1.01,1113,0.04
"theta",0.000754786408079536,9.10472306943907e-07,0.000753054045754874,0.000756640445869254,1,2097,-0.04
