"variable_name","variable_description","parameter_distribution","i","j","t","parameter_name","parameter_value"
"tau","Country-level travel probabilities","point","AGO",NA,NA,"mean",2.10182781930048e-05
"tau","Country-level travel probabilities","beta","AGO",NA,NA,"shape1",591.076840191524
"tau","Country-level travel probabilities","beta","AGO",NA,NA,"shape2",28121447.9771601
"tau","Country-level travel probabilities","point","BDI",NA,NA,"mean",1.6199778988646e-05
"tau","Country-level travel probabilities","beta","BDI",NA,NA,"shape1",183.324458051456
"tau","Country-level travel probabilities","beta","BDI",NA,NA,"shape2",11316295.6336773
"tau","Country-level travel probabilities","point","BEN",NA,NA,"mean",6.02251326765594e-05
"tau","Country-level travel probabilities","beta","BEN",NA,NA,"shape1",621.026497627275
"tau","Country-level travel probabilities","beta","BEN",NA,NA,"shape2",10311128.7368863
"tau","Country-level travel probabilities","point","BFA",NA,NA,"mean",1.70210409310178e-05
"tau","Country-level travel probabilities","beta","BFA",NA,NA,"shape1",345.519799083123
"tau","Country-level travel probabilities","beta","BFA",NA,NA,"shape2",20299223.7300154
"tau","Country-level travel probabilities","point","BWA",NA,NA,"mean",0.000248710007402052
"tau","Country-level travel probabilities","beta","BWA",NA,NA,"shape1",566.174808170926
"tau","Country-level travel probabilities","beta","BWA",NA,NA,"shape2",2275879.44989754
"tau","Country-level travel probabilities","point","CAF",NA,NA,"mean",2.91092147398725e-05
"tau","Country-level travel probabilities","beta","CAF",NA,NA,"shape1",136.886021874358
"tau","Country-level travel probabilities","beta","CAF",NA,NA,"shape2",4702361.03766334
"tau","Country-level travel probabilities","point","CIV",NA,NA,"mean",4.0597261980862e-05
"tau","Country-level travel probabilities","beta","CIV",NA,NA,"shape1",1025.05476631026
"tau","Country-level travel probabilities","beta","CIV",NA,NA,"shape2",25248332.076596
"tau","Country-level travel probabilities","point","CMR",NA,NA,"mean",3.6330656727918e-05
"tau","Country-level travel probabilities","beta","CMR",NA,NA,"shape1",841.861354003762
"tau","Country-level travel probabilities","beta","CMR",NA,NA,"shape2",23171361.1711566
"tau","Country-level travel probabilities","point","COD",NA,NA,"mean",4.83346109655253e-06
"tau","Country-level travel probabilities","beta","COD",NA,NA,"shape1",423.343429045075
"tau","Country-level travel probabilities","beta","COD",NA,NA,"shape2",87585557.0934517
"tau","Country-level travel probabilities","point","COG",NA,NA,"mean",8.87511059921274e-05
"tau","Country-level travel probabilities","beta","COG",NA,NA,"shape1",471.250981311644
"tau","Country-level travel probabilities","beta","COG",NA,NA,"shape2",5309332.79082349
"tau","Country-level travel probabilities","point","ERI",NA,NA,"mean",6.35173286968655e-06
"tau","Country-level travel probabilities","beta","ERI",NA,NA,"shape1",19.4556244001928
"tau","Country-level travel probabilities","beta","ERI",NA,NA,"shape2",3063022.52037623
"tau","Country-level travel probabilities","point","ETH",NA,NA,"mean",7.90330496819022e-06
"tau","Country-level travel probabilities","beta","ETH",NA,NA,"shape1",868.643443498278
"tau","Country-level travel probabilities","beta","ETH",NA,NA,"shape2",109908017.195387
"tau","Country-level travel probabilities","point","GAB",NA,NA,"mean",0.000275987984386876
"tau","Country-level travel probabilities","beta","GAB",NA,NA,"shape1",595.437811766568
"tau","Country-level travel probabilities","beta","GAB",NA,NA,"shape2",2156881.86356195
"tau","Country-level travel probabilities","point","GHA",NA,NA,"mean",3.82153453112289e-05
"tau","Country-level travel probabilities","beta","GHA",NA,NA,"shape1",1041.45757886787
"tau","Country-level travel probabilities","beta","GHA",NA,NA,"shape2",27251298.4175721
