"","parameter","mean","sd","Q2.5","Q97.5","Rhat","n.eff","AC10"
"gamma","gamma",1.36218412903044,0.00840035629902253,1.34547282303879,1.37909977997106,1.01,1000,-0.02
"omega","omega",0.616404597469344,0.00527360980828626,0.606788761820372,0.626797869282821,1,1076,0.03
"tau","tau",0.262628461188016,0.0012947202875895,0.260049275322848,0.265108599584632,1,892,-0.05
"theta","theta",0.000107390253296985,3.48655054225473e-07,0.000106693440025663,0.000108053496786554,1,957,0.06
