"origin","destination","value"
"AGO","AGO",18078.04
"BDI","AGO",1.557692
"BEN","AGO",7.288462
"BFA","AGO",2.134615
"BWA","AGO",20.76923
"CAF","AGO",3.057692
"CIV","AGO",22.76923
"CMR","AGO",69.59615
"COD","AGO",121
"COG","AGO",146.2308
"ERI","AGO",0.2692308
"ETH","AGO",43.19231
"GAB","AGO",12.01923
"GHA","AGO",25.55769
"GIN","AGO",44.90385
"GMB","AGO",5.423077
"GNB","AGO",8.865385
"GNQ","AGO",8.230769
"KEN","AGO",56.38462
"LBR","AGO",0.4230769
"LSO","AGO",3.038462
"MLI","AGO",30.48077
"MOZ","AGO",119.6731
"MRT","AGO",37.21154
"MWI","AGO",2.5
"NAM","AGO",709.4423
"NER","AGO",0.4807692
"NGA","AGO",90.09615
"RWA","AGO",4.846154
"SEN","AGO",19.80769
"SLE","AGO",8.865385
"SOM","AGO",0.1538462
"SSD","AGO",0.2692308
"SWZ","AGO",2.653846
"TCD","AGO",2.25
"TGO","AGO",1.346154
"TZA","AGO",29.44231
"UGA","AGO",7.846154
"ZAF","AGO",1753.173
"ZMB","AGO",86.76923
"ZWE","AGO",93.61538
"AGO","BDI",1.7307692
"BDI","BDI",NA
"BEN","BDI",19.3461538
"BFA","BDI",4.8461538
"BWA","BDI",0.8076923
"CAF","BDI",7.5961538
"CIV","BDI",25.2115385
"CMR","BDI",24.8076923
"COD","BDI",19.8269231
"COG","BDI",9.0769231
"ERI","BDI",0.1923077
"ETH","BDI",65.4423077
"GAB","BDI",8.4615385
"GHA","BDI",8.75
"GIN","BDI",2.4423077
"GMB","BDI",0.1538462
"GNB","BDI",NA
"GNQ","BDI",0.5384615
"KEN","BDI",264.4230769
"LBR","BDI",0.1923077
"LSO","BDI",0.2307692
"MLI","BDI",8.1153846
"MOZ","BDI",4.7884615
"MRT","BDI",0.3269231
"MWI","BDI",2.3269231
"NAM","BDI",0.6346154
"NER","BDI",5.1538462
"NGA","BDI",6.0192308
"RWA","BDI",418.5769231
"SEN","BDI",13.9230769
"SLE","BDI",0.4423077
"SOM","BDI",0.3269231
"SSD","BDI",2.9038462
"SWZ","BDI",0.2884615
"TCD","BDI",4.1346154
"TGO","BDI",4.5961538
"TZA","BDI",180.4615385
"UGA","BDI",98.4807692
"ZAF","BDI",68.9807692
"ZMB","BDI",26.75
"ZWE","BDI",11.7884615
"AGO","BEN",5.73076923
"BDI","BEN",5.98076923
"BEN","BEN",NA
"BFA","BEN",160.51923077
"BWA","BEN",3.07692308
"CAF","BEN",75.32692308
"CIV","BEN",610.34615385
"CMR","BEN",851.25
"COD","BEN",52.46153846
"COG","BEN",558.21153846
"ERI","BEN",NA
"ETH","BEN",35.73076923
"GAB","BEN",816.05769231
"GHA","BEN",81.38461538
"GIN","BEN",59.90384615
"GMB","BEN",20.07692308
"GNB","BEN",5.61538462
"GNQ","BEN",439.01923077
"KEN","BEN",25.23076923
"LBR","BEN",10
"LSO","BEN",0.25
"MLI","BEN",147.61538462
"MOZ","BEN",3.23076923
"MRT","BEN",12.75
"MWI","BEN",2.78846154
"NAM","BEN",1.34615385
"NER","BEN",74.32692308
"NGA","BEN",320.84615385
"RWA","BEN",29.65384615
"SEN","BEN",359.15384615
"SLE","BEN",4.82692308
"SOM","BEN",0.07692308
"SSD","BEN",0.34615385
"SWZ","BEN",0.17307692
"TCD","BEN",38.44230769
"TGO","BEN",92.07692308
"TZA","BEN",13.51923077
"UGA","BEN",13.07692308
"ZAF","BEN",101.01923077
"ZMB","BEN",4.69230769
"ZWE","BEN",3.17307692
"AGO","BFA",5.05769231
"BDI","BFA",6.40384615
"BEN","BFA",150.69230769
"BFA","BFA",70.53846154
"BWA","BFA",3.25
"CAF","BFA",12.23076923
"CIV","BFA",577.86538462
"CMR","BFA",75.75
"COD","BFA",23.19230769
"COG","BFA",51
"ERI","BFA",0.26923077
"ETH","BFA",87.57692308
"GAB","BFA",43.57692308
"GHA","BFA",162.61538462
"GIN","BFA",63.51923077
"GMB","BFA",9.26923077
"GNB","BFA",14.32692308
"GNQ","BFA",1.73076923
"KEN","BFA",39.09615385
"LBR","BFA",6.30769231
"LSO","BFA",0.17307692
"MLI","BFA",220.48076923
"MOZ","BFA",3.86538462
"MRT","BFA",15.94230769
"MWI","BFA",1.26923077
"NAM","BFA",1.03846154
"NER","BFA",188.57692308
"NGA","BFA",58.25
"RWA","BFA",15.65384615
"SEN","BFA",300.21153846
"SLE","BFA",6.13461538
"SOM","BFA",0.09615385
"SSD","BFA",1.19230769
"SWZ","BFA",0.13461538
"TCD","BFA",26.61538462
"TGO","BFA",118.88461538
"TZA","BFA",11.5
"UGA","BFA",13.23076923
"ZAF","BFA",46.40384615
"ZMB","BFA",5.36538462
"ZWE","BFA",3.21153846
"AGO","BWA",29.7115385
"BDI","BWA",1.3269231
"BEN","BWA",10.1923077
"BFA","BWA",2.9230769
"BWA","BWA",1616.4807692
"CAF","BWA",0.2115385
"CIV","BWA",5.0576923
"CMR","BWA",3.9615385
"COD","BWA",17.4807692
"COG","BWA",7.8461538
"ERI","BWA",0.4230769
"ETH","BWA",24.3269231
"GAB","BWA",5.6923077
"GHA","BWA",20.8269231
"GIN","BWA",1.2307692
"GMB","BWA",0.6153846
"GNB","BWA",NA
"GNQ","BWA",0.4230769
"KEN","BWA",100.6538462
"LBR","BWA",0.7307692
"LSO","BWA",24.8846154
"MLI","BWA",0.9615385
"MOZ","BWA",55.0192308
"MRT","BWA",0.1538462
"MWI","BWA",53.2692308
"NAM","BWA",237.1153846
"NER","BWA",0.6153846
"NGA","BWA",29.5384615
"RWA","BWA",6.0769231
"SEN","BWA",9.4615385
"SLE","BWA",0.9807692
"SOM","BWA",0.1730769
"SSD","BWA",1.2307692
"SWZ","BWA",19.8461538
"TCD","BWA",0.25
"TGO","BWA",0.8461538
"TZA","BWA",56.6153846
"UGA","BWA",29.75
"ZAF","BWA",3065.1730769
"ZMB","BWA",87.1538462
"ZWE","BWA",117.5
"AGO","CAF",4.07692308
"BDI","CAF",7.73076923
"BEN","CAF",57.59615385
"BFA","CAF",11.44230769
"BWA","CAF",0.23076923
"CAF","CAF",NA
"CIV","CAF",20.75
"CMR","CAF",510.13461538
"COD","CAF",14.86538462
"COG","CAF",80.53846154
"ERI","CAF",NA
"ETH","CAF",5.75
"GAB","CAF",14.94230769
"GHA","CAF",1.03846154
"GIN","CAF",3.21153846
"GMB","CAF",0.21153846
"GNB","CAF",NA
"GNQ","CAF",0.44230769
"KEN","CAF",57.15384615
"LBR","CAF",0.25
"LSO","CAF",0.03846154
"MLI","CAF",9.59615385
"MOZ","CAF",0.57692308
"MRT","CAF",3.75
"MWI","CAF",0.28846154
"NAM","CAF",0.30769231
"NER","CAF",5.90384615
"NGA","CAF",4.05769231
"RWA","CAF",14.86538462
"SEN","CAF",23.36538462
"SLE","CAF",0.15384615
"SOM","CAF",NA
"SSD","CAF",1.25
"SWZ","CAF",0.05769231
