"origin","destination","value"
"TCD","CAF",43.48076923
"TGO","CAF",16.19230769
"TZA","CAF",3.36538462
"UGA","CAF",28.69230769
"ZAF","CAF",24.17307692
"ZMB","CAF",2.82692308
"ZWE","CAF",1.15384615
"AGO","CIV",40.3269231
"BDI","CIV",13.1730769
"BEN","CIV",619.1923077
"BFA","CIV",569.3269231
"BWA","CIV",5.6153846
"CAF","CIV",35.2692308
"CIV","CIV",1558.2692308
"CMR","CIV",473.7692308
"COD","CIV",87.5769231
"COG","CIV",191.2307692
"ERI","CIV",0.7307692
"ETH","CIV",65.5576923
"GAB","CIV",351.9038462
"GHA","CIV",986.6538462
"GIN","CIV",442.2115385
"GMB","CIV",19.1730769
"GNB","CIV",32.1730769
"GNQ","CIV",36.9615385
"KEN","CIV",110.4423077
"LBR","CIV",90.8269231
"LSO","CIV",1.4423077
"MLI","CIV",641.6730769
"MOZ","CIV",16.2692308
"MRT","CIV",91.8846154
"MWI","CIV",9.7115385
"NAM","CIV",6.8846154
"NER","CIV",134.3846154
"NGA","CIV",578.9807692
"RWA","CIV",38.3653846
"SEN","CIV",921.5
"SLE","CIV",51.0384615
"SOM","CIV",1.5961538
"SSD","CIV",2.1153846
"SWZ","CIV",2.2115385
"TCD","CIV",55.7115385
"TGO","CIV",342.6923077
"TZA","CIV",32.5961538
"UGA","CIV",29.7307692
"ZAF","CIV",306.6346154
"ZMB","CIV",20.9038462
"ZWE","CIV",12.5
"AGO","CMR",44.9230769
"BDI","CMR",19.25
"BEN","CMR",772.3076923
"BFA","CMR",67.8076923
"BWA","CMR",4.7692308
"CAF","CMR",438.7115385
"CIV","CMR",504.3653846
"CMR","CMR",3574.0384615
"COD","CMR",88.9038462
"COG","CMR",472.0769231
"ERI","CMR",0.4423077
"ETH","CMR",82.8653846
"GAB","CMR",708.3076923
"GHA","CMR",130.6346154
"GIN","CMR",37.8461538
"GMB","CMR",3.1923077
"GNB","CMR",2.0384615
"GNQ","CMR",391.5
"KEN","CMR",127.0576923
"LBR","CMR",12.1923077
"LSO","CMR",3.4615385
"MLI","CMR",95.9615385
"MOZ","CMR",20.8653846
"MRT","CMR",9.1923077
"MWI","CMR",12.8461538
"NAM","CMR",4.6730769
"NER","CMR",35.1153846
"NGA","CMR",467.5961538
"RWA","CMR",78.2307692
"SEN","CMR",207.4230769
"SLE","CMR",7.1153846
"SOM","CMR",0.2307692
"SSD","CMR",2.9230769
"SWZ","CMR",1.3461538
"TCD","CMR",411.6346154
"TGO","CMR",73.9038462
"TZA","CMR",49.0769231
"UGA","CMR",33.6923077
"ZAF","CMR",246.0769231
"ZMB","CMR",16.6923077
"ZWE","CMR",17.2307692
"AGO","COD",136.5
"BDI","COD",29.3846154
"BEN","COD",51.3461538
"BFA","COD",22.6923077
"BWA","COD",16.8653846
"CAF","COD",18.0384615
"CIV","COD",105.3269231
"CMR","COD",132.6346154
"COD","COD",8538.5576923
"COG","COD",49.9423077
"ERI","COD",0.2884615
"ETH","COD",124.5769231
"GAB","COD",105.1346154
"GHA","COD",30.3076923
"GIN","COD",17.7307692
"GMB","COD",1.2115385
"GNB","COD",1.0192308
"GNQ","COD",2.8076923
"KEN","COD",316.3461538
"LBR","COD",5.6923077
"LSO","COD",3.1730769
"MLI","COD",26.1346154
"MOZ","COD",19.6153846
"MRT","COD",6.2115385
"MWI","COD",9.8461538
"NAM","COD",16.1730769
"NER","COD",10.6346154
"NGA","COD",55.4615385
"RWA","COD",62.0192308
"SEN","COD",62.2884615
"SLE","COD",3.1923077
"SOM","COD",0.7115385
"SSD","COD",2.5576923
"SWZ","COD",2.6346154
"TCD","COD",16.7884615
"TGO","COD",22.4038462
"TZA","COD",109.1730769
"UGA","COD",113.9038462
"ZAF","COD",1087.7884615
"ZMB","COD",77.0576923
"ZWE","COD",24.8461538
"AGO","COG",104.4615385
"BDI","COG",8.7307692
"BEN","COG",563.7692308
"BFA","COG",58.6346154
"BWA","COG",4.4807692
"CAF","COG",73.4807692
"CIV","COG",232.0384615
"CMR","COG",479.2115385
"COD","COG",75.5769231
"COG","COG",7009.4230769
"ERI","COG",0.5192308
"ETH","COG",101.5384615
"GAB","COG",402.2884615
"GHA","COG",43
"GIN","COG",27.5192308
"GMB","COG",0.3076923
"GNB","COG",1.0769231
"GNQ","COG",58.3846154
"KEN","COG",44.5769231
"LBR","COG",1.4615385
"LSO","COG",0.5
"MLI","COG",237.3653846
"MOZ","COG",7.5961538
"MRT","COG",44.0192308
"MWI","COG",1.5576923
"NAM","COG",7.1346154
"NER","COG",8.5576923
"NGA","COG",37.2692308
"RWA","COG",44.3461538
"SEN","COG",159.3269231
"SLE","COG",1.8653846
"SOM","COG",0.2115385
"SSD","COG",2.2692308
"SWZ","COG",1.0961538
"TCD","COG",24.1153846
"TGO","COG",40.1730769
"TZA","COG",27.7884615
"UGA","COG",16.7692308
"ZAF","COG",278.7884615
"ZMB","COG",6.7115385
"ZWE","COG",13.6730769
"AGO","ERI",0.59615385
"BDI","ERI",0.09615385
"BEN","ERI",NA
"BFA","ERI",0.13461538
"BWA","ERI",0.61538462
"CAF","ERI",NA
"CIV","ERI",0.5
"CMR","ERI",0.46153846
"COD","ERI",0.09615385
"COG","ERI",0.28846154
"ERI","ERI",NA
"ETH","ERI",8.07692308
"GAB","ERI",NA
"GHA","ERI",2.51923077
"GIN","ERI",0.17307692
"GMB","ERI",0.05769231
"GNB","ERI",NA
"GNQ","ERI",NA
"KEN","ERI",40.48076923
"LBR","ERI",0.07692308
"LSO","ERI",0.07692308
"MLI","ERI",0.01923077
"MOZ","ERI",0.78846154
"MRT","ERI",0.30769231
"MWI","ERI",0.42307692
"NAM","ERI",0.42307692
"NER","ERI",0.15384615
"NGA","ERI",1.15384615
"RWA","ERI",1.48076923
"SEN","ERI",0.40384615
"SLE","ERI",0.11538462
"SOM","ERI",0.11538462
"SSD","ERI",15.13461538
"SWZ","ERI",0.17307692
"TCD","ERI",0.07692308
"TGO","ERI",0.11538462
"TZA","ERI",3.19230769
"UGA","ERI",20.09615385
"ZAF","ERI",24.92307692
"ZMB","ERI",2.61538462
"ZWE","ERI",4.36538462
"AGO","ETH",91.596154
"BDI","ETH",55.711538
"BEN","ETH",46.711538
"BFA","ETH",97.865385
"BWA","ETH",33.903846
"CAF","ETH",6.826923
"CIV","ETH",95.884615
"CMR","ETH",99.173077
"COD","ETH",144.480769
"COG","ETH",100.038462
"ERI","ETH",8.134615
"ETH","ETH",30476.403846
"GAB","ETH",28.826923
"GHA","ETH",118.192308
"GIN","ETH",25.288462
"GMB","ETH",11.365385
"GNB","ETH",1.596154
"GNQ","ETH",24.038462
"KEN","ETH",1778.807692
"LBR","ETH",9.557692
"LSO","ETH",8.038462
"MLI","ETH",61.230769
"MOZ","ETH",95.480769
"MRT","ETH",3.5
"MWI","ETH",64.057692
"NAM","ETH",62.057692
"NER","ETH",55.653846
"NGA","ETH",389.538462
"RWA","ETH",213.307692
"SEN","ETH",80.403846
"SLE","ETH",12.903846
"SOM","ETH",217.423077
"SSD","ETH",205.153846
"SWZ","ETH",6.153846
"TCD","ETH",77.326923
"TGO","ETH",65.403846
"TZA","ETH",361.826923
"UGA","ETH",508.442308
"ZAF","ETH",581.192308
"ZMB","ETH",161.634615
"ZWE","ETH",128.884615
"AGO","GAB",13
"BDI","GAB",8.865385
"BEN","GAB",857.9615
"BFA","GAB",46.67308
"BWA","GAB",2.480769
"CAF","GAB",13.65385
"CIV","GAB",380.0577
"CMR","GAB",711.3077
"COD","GAB",105.5
"COG","GAB",403.4808
"ERI","GAB",0.2692308
"ETH","GAB",27.51923
"GAB","GAB",3225.827
"GHA","GAB",54.86538
"GIN","GAB",23.73077
"GMB","GAB",1.653846
"GNB","GAB",0.75
"GNQ","GAB",96
"KEN","GAB",20.73077
"LBR","GAB",1.519231
"LSO","GAB",0.09615385
"MLI","GAB",141.6923
"MOZ","GAB",4.826923
"MRT","GAB",12.05769
"MWI","GAB",0.7307692
"NAM","GAB",2.153846
"NER","GAB",8.25
"NGA","GAB",285.1346
"RWA","GAB",81.13462
"SEN","GAB",217.4038
"SLE","GAB",3.942308
"SOM","GAB",0.1923077
"SSD","GAB",0.6346154
"SWZ","GAB",0.1538462
"TCD","GAB",34.53846
"TGO","GAB",85.38462
"TZA","GAB",13.76923
"UGA","GAB",12.05769
"ZAF","GAB",331.9038
"ZMB","GAB",5.980769
"ZWE","GAB",3
"AGO","GHA",46.46154
"BDI","GHA",4.307692
"BEN","GHA",106.6346
"BFA","GHA",142.9808
"BWA","GHA",24.26923
"CAF","GHA",2.903846
"CIV","GHA",971
"CMR","GHA",176.5192
"COD","GHA",30.71154
"COG","GHA",33.55769
"ERI","GHA",3.211538
"ETH","GHA",117.0962
"GAB","GHA",73.23077
"GHA","GHA",10718.27
"GIN","GHA",77.26923
"GMB","GHA",379.6154
"GNB","GHA",6.269231
"GNQ","GHA",51.26923
"KEN","GHA",272.6538
"LBR","GHA",234.3462
"LSO","GHA",5.653846
"MLI","GHA",119.3269
"MOZ","GHA",25.63462
"MRT","GHA",14.34615
"MWI","GHA",23.36538
"NAM","GHA",24.55769
"NER","GHA",33.98077
"NGA","GHA",2934.019
"RWA","GHA",64.13462
"SEN","GHA",279.8462
"SLE","GHA",257
"SOM","GHA",0.7884615
"SSD","GHA",6.288462
"SWZ","GHA",6.423077
"TCD","GHA",17.5
"TGO","GHA",42.25
"TZA","GHA",87.07692
"UGA","GHA",83.51923
"ZAF","GHA",969.6731
"ZMB","GHA",51.94231
"ZWE","GHA",43.86538
"AGO","GIN",79.90384615
"BDI","GIN",2.19230769
"BEN","GIN",50.13461538
"BFA","GIN",70.48076923
"BWA","GIN",1.51923077
"CAF","GIN",4.07692308
"CIV","GIN",432.78846154
"CMR","GIN",44.51923077
"COD","GIN",20.26923077
"COG","GIN",22.11538462
"ERI","GIN",NA
"ETH","GIN",24.23076923
"GAB","GIN",32.13461538
"GHA","GIN",53.09615385
"GIN","GIN",NA
"GMB","GIN",24.17307692
"GNB","GIN",4.5
"GNQ","GIN",2.57692308
"KEN","GIN",16.11538462
"LBR","GIN",8.30769231
"LSO","GIN",0.05769231
"MLI","GIN",417.40384615
"MOZ","GIN",18.11538462
"MRT","GIN",23.90384615
"MWI","GIN",0.76923077
"NAM","GIN",0.32692308
"NER","GIN",19.36538462
"NGA","GIN",55.78846154
"RWA","GIN",11.38461538
"SEN","GIN",725.40384615
"SLE","GIN",23.19230769
"SOM","GIN",0
"SSD","GIN",0.15384615
"SWZ","GIN",0.09615385
"TCD","GIN",8.55769231
"TGO","GIN",33.80769231
"TZA","GIN",4.25
"UGA","GIN",5.05769231
"ZAF","GIN",41.48076923
"ZMB","GIN",2.86538462
"ZWE","GIN",2
"AGO","GMB",5.38461538
"BDI","GMB",0.07692308
"BEN","GMB",18.30769231
"BFA","GMB",11.44230769
"BWA","GMB",0.78846154
"CAF","GMB",0.25
"CIV","GMB",24.40384615
"CMR","GMB",2.63461538
"COD","GMB",1.23076923
"COG","GMB",0.75
"ERI","GMB",0.05769231
"ETH","GMB",6.05769231
"GAB","GMB",0.61538462
"GHA","GMB",158.30769231
"GIN","GMB",24.48076923
"GMB","GMB",NA
"GNB","GMB",10.44230769
"GNQ","GMB",0.46153846
"KEN","GMB",9.51923077
"LBR","GMB",6.25
"LSO","GMB",NA
"MLI","GMB",8.28846154
"MOZ","GMB",1.42307692
"MRT","GMB",4.59615385
"MWI","GMB",0.76923077
"NAM","GMB",0.13461538
"NER","GMB",10.67307692
"NGA","GMB",147.90384615
"RWA","GMB",1.34615385
"SEN","GMB",784.23076923
"SLE","GMB",69.78846154
"SOM","GMB",NA
"SSD","GMB",0.82692308
"SWZ","GMB",0.05769231
"TCD","GMB",0.5
"TGO","GMB",6.61538462
"TZA","GMB",2.23076923
"UGA","GMB",3.55769231
"ZAF","GMB",15.23076923
"ZMB","GMB",1.17307692
"ZWE","GMB",0.67307692
"AGO","GNB",7.03846154
"BDI","GNB",0.03846154
"BEN","GNB",4.44230769
"BFA","GNB",12.38461538
"BWA","GNB",NA
"CAF","GNB",0.07692308
"CIV","GNB",27.40384615
"CMR","GNB",1.94230769
"COD","GNB",1.07692308
"COG","GNB",1.15384615
"ERI","GNB",NA
"ETH","GNB",1.61538462
"GAB","GNB",0.57692308
"GHA","GNB",5.96153846
"GIN","GNB",6.53846154
"GMB","GNB",1.75
"GNB","GNB",NA
"GNQ","GNB",0.15384615
"KEN","GNB",2.65384615
"LBR","GNB",1.34615385
"LSO","GNB",NA
"MLI","GNB",3.76923077
"MOZ","GNB",2.5
"MRT","GNB",4.13461538
"MWI","GNB",0.11538462
"NAM","GNB",NA
"NER","GNB",2.63461538
"NGA","GNB",7.53846154
"RWA","GNB",0.44230769
"SEN","GNB",303.88461538
"SLE","GNB",1.17307692
"SOM","GNB",NA
"SSD","GNB",NA
"SWZ","GNB",NA
"TCD","GNB",0.63461538
"TGO","GNB",21.63461538
"TZA","GNB",0.65384615
"UGA","GNB",0.69230769
"ZAF","GNB",1.40384615
"ZMB","GNB",0.03846154
"ZWE","GNB",0.11538462
"AGO","GNQ",8.403846
"BDI","GNQ",0.2692308
"BEN","GNQ",442.2115
"BFA","GNQ",1.75
"BWA","GNQ",0.6346154
"CAF","GNQ",0.3076923
"CIV","GNQ",3.423077
"CMR","GNQ",331.75
"COD","GNQ",2.230769
"COG","GNQ",63.63462
"ERI","GNQ",0.05769231
"ETH","GNQ",20.36538
"GAB","GNQ",67.69231
"GHA","GNQ",55.15385
"GIN","GNQ",1.634615
"GMB","GNQ",0.1346154
"GNB","GNQ",0.1153846
"GNQ","GNQ",7790.942
"KEN","GNQ",3.692308
"LBR","GNQ",0.1538462
"LSO","GNQ",0.03846154
"MLI","GNQ",0.5384615
"MOZ","GNQ",2.192308
"MRT","GNQ",0.8076923
"MWI","GNQ",0.03846154
"NAM","GNQ",0.6538462
"NER","GNQ",0.7307692
"NGA","GNQ",137.3846
"RWA","GNQ",0.8076923
"SEN","GNQ",32.65385
"SLE","GNQ",0.25
"SOM","GNQ",NA
"SSD","GNQ",0.4038462
"SWZ","GNQ",1.153846
"TCD","GNQ",1.5
"TGO","GNQ",114.7308
"TZA","GNQ",1.903846
"UGA","GNQ",3.596154
"ZAF","GNQ",23.73077
"ZMB","GNQ",1.788462
"ZWE","GNQ",1.692308
"AGO","KEN",92.519231
"BDI","KEN",283.788462
"BEN","KEN",27.615385
"BFA","KEN",44.519231
"BWA","KEN",100.846154
"CAF","KEN",64.980769
"CIV","KEN",110.403846
"CMR","KEN",131.442308
"COD","KEN",323.134615
"COG","KEN",39.846154
"ERI","KEN",38.269231
"ETH","KEN",1864.519231
"GAB","KEN",21.326923
"GHA","KEN",259.961538
"GIN","KEN",13.538462
"GMB","KEN",21.557692
"GNB","KEN",2.173077
"GNQ","KEN",5.480769
"KEN","KEN",48528.557692
"LBR","KEN",39.057692
"LSO","KEN",26.134615
"MLI","KEN",56.423077
"MOZ","KEN",245.153846
"MRT","KEN",4.423077
"MWI","KEN",533.384615
"NAM","KEN",62.942308
"NER","KEN",27.730769
"NGA","KEN",520.115385
"RWA","KEN",1245.980769
"SEN","KEN",111.461538
"SLE","KEN",60.923077
"SOM","KEN",1141.326923
"SSD","KEN",876.980769
"SWZ","KEN",14.576923
"TCD","KEN",40.865385
"TGO","KEN",20.634615
"TZA","KEN",2800.192308
"UGA","KEN",2811.384615
"ZAF","KEN",2420
"ZMB","KEN",468.076923
"ZWE","KEN",337.730769
"AGO","LBR",0.40384615
"BDI","LBR",0.38461538
"BEN","LBR",7.90384615
"BFA","LBR",4.82692308
"BWA","LBR",1.34615385
"CAF","LBR",0.73076923
"CIV","LBR",90.11538462
"CMR","LBR",9.15384615
"COD","LBR",4.78846154
"COG","LBR",3.36538462
"ERI","LBR",NA
"ETH","LBR",10.21153846
"GAB","LBR",8.96153846
"GHA","LBR",241.90384615
"GIN","LBR",9.15384615
"GMB","LBR",6.17307692
"GNB","LBR",1.36538462
"GNQ","LBR",0.34615385
"KEN","LBR",28.71153846
"LBR","LBR",NA
"LSO","LBR",0.11538462
"MLI","LBR",7.17307692
"MOZ","LBR",3.34615385
"MRT","LBR",1.28846154
"MWI","LBR",1.55769231
"NAM","LBR",0.80769231
"NER","LBR",7.38461538
"NGA","LBR",147.46153846
"RWA","LBR",4.03846154
"SEN","LBR",34.53846154
"SLE","LBR",119.26923077
"SOM","LBR",0.03846154
"SSD","LBR",2.32692308
"SWZ","LBR",0.19230769
"TCD","LBR",0.88461538
"TGO","LBR",7.96153846
"TZA","LBR",8.73076923
"UGA","LBR",12.94230769
"ZAF","LBR",25.61538462
"ZMB","LBR",2.36538462
"ZWE","LBR",3.05769231
"AGO","LSO",2.61538462
"BDI","LSO",0.15384615
"BEN","LSO",0.19230769
"BFA","LSO",0.25
"BWA","LSO",21.57692308
"CAF","LSO",NA
"CIV","LSO",1.44230769
"CMR","LSO",3.84615385
"COD","LSO",2.59615385
"COG","LSO",0.53846154
"ERI","LSO",0.11538462
"ETH","LSO",7.73076923
"GAB","LSO",0.13461538
"GHA","LSO",3
"GIN","LSO",0.03846154
"GMB","LSO",0.05769231
"GNB","LSO",NA
"GNQ","LSO",0.01923077
"KEN","LSO",22.13461538
"LBR","LSO",0.07692308
"LSO","LSO",NA
"MLI","LSO",0.28846154
"MOZ","LSO",7.55769231
"MRT","LSO",0.11538462
"MWI","LSO",13.03846154
"NAM","LSO",20.03846154
"NER","LSO",0.23076923
"NGA","LSO",4.65384615
"RWA","LSO",2.21153846
"SEN","LSO",1.30769231
"SLE","LSO",0.28846154
"SOM","LSO",NA
"SSD","LSO",0.5
"SWZ","LSO",7.71153846
"TCD","LSO",0.23076923
"TGO","LSO",0.23076923
"TZA","LSO",11.01923077
"UGA","LSO",6.59615385
"ZAF","LSO",367.94230769
"ZMB","LSO",13.17307692
"ZWE","LSO",16.90384615
"AGO","MLI",24.98076923
"BDI","MLI",7.75
"BEN","MLI",130.44230769
"BFA","MLI",188.17307692
"BWA","MLI",1.34615385
"CAF","MLI",20.51923077
"CIV","MLI",586.88461538
"CMR","MLI",81.11538462
"COD","MLI",29.25
"COG","MLI",299.76923077
"ERI","MLI",0.03846154
"ETH","MLI",38.42307692
"GAB","MLI",172.63461538
"GHA","MLI",112.90384615
"GIN","MLI",396.92307692
"GMB","MLI",17.28846154
"GNB","MLI",5.67307692
"GNQ","MLI",1.25
"KEN","MLI",44.73076923
"LBR","MLI",7.75
"LSO","MLI",0.21153846
"MLI","MLI",NA
"MOZ","MLI",13.26923077
"MRT","MLI",146.48076923
"MWI","MLI",2.90384615
"NAM","MLI",7.23076923
"NER","MLI",166.15384615
"NGA","MLI",44.71153846
"RWA","MLI",21.94230769
"SEN","MLI",647.38461538
"SLE","MLI",5.23076923
"SOM","MLI",0.69230769
"SSD","MLI",1.21153846
"SWZ","MLI",0.15384615
"TCD","MLI",46.92307692
"TGO","MLI",67.17307692
"TZA","MLI",28.92307692
"UGA","MLI",19.46153846
"ZAF","MLI",98.11538462
"ZMB","MLI",6.71153846
"ZWE","MLI",6.53846154
"AGO","MOZ",255.3846154
"BDI","MOZ",4.6730769
"BEN","MOZ",2.5192308
"BFA","MOZ",2.5576923
"BWA","MOZ",60.5769231
"CAF","MOZ",0.3461538
"CIV","MOZ",11.5576923
"CMR","MOZ",13.9038462
"COD","MOZ",21.5
"COG","MOZ",6.2307692
"ERI","MOZ",0.25
"ETH","MOZ",80.2307692
"GAB","MOZ",4.9807692
"GHA","MOZ",20.7115385
"GIN","MOZ",11.2115385
"GMB","MOZ",0.9230769
"GNB","MOZ",2.4038462
"GNQ","MOZ",1.9423077
"KEN","MOZ",267.1923077
"LBR","MOZ",1.2692308
"LSO","MOZ",6.6730769
"MLI","MOZ",8.9038462
"MOZ","MOZ",8492.4038462
"MRT","MOZ",0.3846154
"MWI","MOZ",77.7307692
"NAM","MOZ",40.7884615
"NER","MOZ",0.8846154
"NGA","MOZ",62.5192308
"RWA","MOZ",18.0576923
"SEN","MOZ",17.0576923
"SLE","MOZ",2.2115385
"SOM","MOZ",5.5192308
"SSD","MOZ",1.6923077
"SWZ","MOZ",3.8653846
"TCD","MOZ",0.6730769
"TGO","MOZ",1.1730769
"TZA","MOZ",187.4615385
"UGA","MOZ",41.5576923
"ZAF","MOZ",2688.75
"ZMB","MOZ",86.0769231
"ZWE","MOZ",151.5384615
"AGO","MRT",35.51923077
"BDI","MRT",0.59615385
"BEN","MRT",11.65384615
"BFA","MRT",14.84615385
"BWA","MRT",0.46153846
"CAF","MRT",7.15384615
"CIV","MRT",67.71153846
"CMR","MRT",6.96153846
"COD","MRT",6.30769231
"COG","MRT",25.67307692
"ERI","MRT",0.26923077
"ETH","MRT",3.73076923
"GAB","MRT",10.65384615
"GHA","MRT",18.44230769
