"year","country","request_number","status","context","decision_date","doses_requested","doses_approved","doses_shipped","campaign_date","id","iso_code","delay"
2014,"South Sudan",201401,"Pending","Outbreak response",NA,322900,NA,188000,2014-07-01,184,"SSD",NA
2014,"Ethiopia",201402,"Pending","Outbreak response",NA,278700,NA,278700,2014-07-01,67,"ETH",NA
2014,"Ethiopia",201405,"Pending","Outbreak response",NA,64300,NA,64300,2014-07-01,66,"ETH",NA
2015,"Malawi",201501,"Approved","Outbreak response",2015-03-11,210000,210000,210000,2015-03-23,101,"MWI",12
2015,"South Sudan",201503,"Approved","Outbreak response",2015-05-12,146700,146700,146700,2015-05-26,181,"SSD",14
2015,"Tanzania",201504,"Approved","Outbreak response",2015-05-22,164600,164600,164600,2015-05-27,211,"TZA",5
2015,"South Sudan",201505,"Approved","Outbreak response",2015-06-18,67100,67100,67100,2015-06-11,180,"SSD",-7
2015,"Tanzania",201507,"Approved","Outbreak response",2015-06-26,164600,254600,254600,2015-07-07,210,"TZA",11
2015,"South Sudan",201509,"Approved","Outbreak response",2015-07-10,639500,270300,270300,2015-07-23,179,"SSD",13
2015,"South Sudan",201510,"Approved","Outbreak response",2015-07-23,66800,66800,66800,2015-08-06,178,"SSD",14
2015,"Cameroon",201511,"Approved","Outbreak response",2015-07-28,116300,116300,116400,2015-08-08,24,"CMR",11
2016,"Niger",201601,"Approved","Outbreak response",2016-01-14,195100,195100,195200,2016-01-26,126,"NER",12
2016,"Malawi",201602,"Approved","Outbreak response",2016-01-25,160000,160000,160000,2016-02-09,99,"MWI",15
2016,"Malawi",201603,"Approved","Outbreak response",2016-02-24,40000,40000,40000,2016-03-08,98,"MWI",13
2016,"Zambia",201604,"Approved","Outbreak response",2016-03-28,598100,598100,598200,2016-04-07,229,"ZMB",10
2016,"South Sudan",201605,"Approved","Outbreak response",2016-04-01,72400,72400,72400,2016-04-25,177,"SSD",24
2016,"Mozambique",201606,"Approved","Outbreak response",2016-08-11,425500,425500,425500,2016-09-12,115,"MOZ",32
2016,"Zambia",201608,"Approved","Outbreak response",2016-08-15,293700,293700,293700,2016-08-25,228,"ZMB",10
2016,"Democratic Republic of Congo",201609,"Approved","Outbreak response",2016-09-02,680700,680700,680800,2016-09-13,47,"COD",11
2016,"Democratic Republic of Congo",201611,"Approved","Outbreak response",2016-10-10,70000,70000,70000,2016-10-21,46,"COD",11
2017,"South Sudan",201701,"Approved","Outbreak response",2017-02-18,304100,69000,69100,2017-02-22,175,"SSD",4
2017,"South Sudan",201702,"Approved","Outbreak response",2017-03-07,475000,475000,475000,2017-03-15,174,"SSD",8
2017,"Somalia",201703,"Approved","Outbreak response",2017-04-05,264600,264600,718200,2017-05-15,151,"SOM",40
2017,"Somalia",201703,"Approved","Outbreak response",2017-04-05,988000,907200,453600,2017-05-15,152,"SOM",40
2017,"Mozambique",201704,"Approved","Outbreak response",2017-04-05,709100,709100,709100,2017-04-28,114,"MOZ",23
2017,"Malawi",201705,"Approved","Outbreak response",2017-04-05,120000,120000,120000,2017-04-21,95,"MWI",16
2017,"Sierra Leone",201709,"Approved","Outbreak response",2017-08-29,1e+06,1e+06,1e+06,2017-09-07,145,"SLE",9
2017,"Nigeria",201711,"Approved","Outbreak response",2017-09-06,915000,915000,915000,2017-09-15,139,"NGA",9
2017,"Nigeria",201714,"Approved","Outbreak response",2017-10-30,896900,896900,896900,2017-11-30,138,"NGA",31
2018,"Nigeria",201804,"Approved","Outbreak response",2018-04-12,1200000,1200000,1200000,2018-04-25,136,"NGA",13
2018,"Nigeria",201805,"Approved","Outbreak response",2018-05-04,291000,252900,252900,2018-05-14,135,"NGA",10
2018,"Nigeria",201807,"Approved","Outbreak response",2018-06-13,757600,757600,757700,2018-06-22,134,"NGA",9
2018,"South Sudan",201808,"Approved","Outbreak response",2018-06-18,105900,96300,96300,2018-07-04,173,"SSD",16
2018,"Zimbabwe",201811,"Approved","Outbreak response",2018-09-27,2800000,2800000,2763400,2018-09-26,233,"ZWE",-1
2018,"Niger",201812,"Approved","Outbreak response",2018-10-03,2300000,317300,317400,2018-10-11,125,"NER",8
2019,"Mozambique",201901,"Approved","Outbreak response",2019-03-22,885000,885000,849500,2019-07-07,112,"MOZ",107
2019,"Mozambique",201901,"Approved","Outbreak response",2019-03-22,885000,885000,885000,2019-04-02,113,"MOZ",11
2019,"Zimbabwe",201902,"Approved","Outbreak response",2019-04-03,975600,975600,975600,2019-04-14,232,"ZWE",11
2019,"Cameroon",201903,"Approved","Outbreak response",2020-09-19,NA,1100000,691200,2019-09-30,21,"CMR",-355
2019,"Cameroon",201903,"Approved","Outbreak response",2019-04-15,1300000,1300000,1297600,2019-05-31,22,"CMR",46
2019,"Democratic Republic of Congo",201905,"Approved","Outbreak response",2019-04-15,2100000,1700000,1670400,2019-04-24,44,"COD",9
2019,"Zambia",201906,"Approved","Outbreak response",2019-04-23,131800,111200,111200,2019-07-03,224,"ZMB",71
2019,"Zambia",201906,"Approved","Outbreak response",2019-04-23,136800,136800,136800,2019-04-30,225,"ZMB",7
2019,"Mozambique",201908,"Approved","Outbreak response",2019-05-02,1900000,519000,519000,2019-05-12,111,"MOZ",10
2019,"Ethiopia",201909,"Approved","Outbreak response",2019-05-10,817700,778800,778700,2019-05-17,65,"ETH",7
2019,"Democratic Republic of Congo",201914,"Approved","Outbreak response",2019-10-28,961700,961700,961700,2019-11-14,43,"COD",17
2019,"South Sudan",201918,"Approved","Outbreak response",2019-12-05,508800,508800,254400,2019-12-17,171,"SSD",12
2019,"Cameroon",201919,"Approved","Outbreak response",2020-01-08,10000,10000,10100,2020-02-27,19,"CMR",50
2019,"Cameroon",201919,"Approved","Outbreak response",2019-12-09,67700,67700,67700,2019-12-17,20,"CMR",8
2020,"Mozambique",202002,"Approved","Outbreak response",2020-03-12,976800,733400,733500,2020-03-27,110,"MOZ",15
2020,"Democratic Republic of Congo",202003,"Approved","Outbreak response",2020-05-22,2100000,2100000,2100000,2020-06-07,40,"COD",16
2020,"Uganda",202004,"Approved","Outbreak response",2020-06-02,157700,157700,157700,2020-06-07,212,"UGA",5
2020,"Ethiopia",202005,"Approved","Outbreak response",2020-11-19,4900000,3400000,3300000,2020-12-28,64,"ETH",39
2021,"Ethiopia",202101,"Approved","Outbreak response",2021-03-05,5500000,2400000,2400000,2021-03-18,63,"ETH",13
2021,"Ethiopia",202102,"Approved","Outbreak response",2021-05-13,4e+06,4e+06,2e+06,2021-05-22,62,"ETH",9
2021,"Nigeria",202103,"Approved","Outbreak response",2021-07-08,1600000,1600000,1600000,2021-07-16,133,"NGA",8
2021,"Niger",202105,"Approved","Outbreak response",2021-09-10,4e+06,4e+06,4e+06,2021-10-18,124,"NER",38
2021,"Nigeria",202106,"Approved","Outbreak response",2021-09-14,3600000,3600000,3600000,2021-10-04,132,"NGA",20
2021,"Ethiopia",202108,"Approved","Outbreak response",2021-11-04,2100000,2100000,2e+06,2021-11-18,61,"ETH",14
2021,"Cameroon",202109,"Approved","Outbreak response",2021-12-28,409500,409500,409600,2022-01-18,18,"CMR",21
2022,"Cameroon",202201,"Approved","Outbreak response",2022-02-17,1700000,1700000,1684200,2022-03-08,17,"CMR",19
2022,"Malawi",202202,"Approved","Outbreak response",2022-03-17,3900000,3900000,1900000,2022-04-07,94,"MWI",21
2022,"Somalia",202204,"Approved","Outbreak response",2022-04-26,1900000,1900000,1869000,2022-05-29,149,"SOM",33
2022,"Cameroon",202210,"Approved","Outbreak response",2022-07-07,4300000,4300000,2100000,2022-07-14,16,"CMR",7
2022,"Malawi",202213,"Approved","Outbreak response",2022-10-20,2900000,2900000,2900000,2022-11-07,93,"MWI",18
2022,"Somalia",202215,"Approved","Outbreak response",2022-11-10,2e+06,995900,995900,2022-11-25,148,"SOM",15
2022,"Cameroon",202217,"Approved","Outbreak response",2022-11-15,4400000,1600000,1600000,2022-11-29,15,"CMR",14
2022,"Ethiopia",202220,"Approved","Outbreak response",2022-12-02,2e+06,86900,86900,2022-12-15,60,"ETH",13
2022,"Kenya",202221,"Approved","Outbreak response",2022-12-09,7600000,2200000,2243000,2022-12-29,87,"KEN",20
2022,"Democratic Republic of Congo",202223,"Approved","Outbreak response",2022-12-22,728300,364100,364100,2023-01-04,39,"COD",13
2023,"Mozambique",202302,"Approved","Outbreak response",2023-02-01,719200,719200,719200,2023-02-15,109,"MOZ",14
2023,"Malawi",202303,"Approved","Outbreak response",2023-03-30,6300000,1400000,1400000,2023-04-14,92,"MWI",15
2023,"Mozambique",202304,"Approved","Outbreak response",2023-03-09,1600000,1400000,1400000,2023-03-23,108,"MOZ",14
2023,"Mozambique",202307,"Approved","Outbreak response",2023-03-21,410600,410600,410600,2023-03-30,107,"MOZ",9
2023,"Ethiopia",202308,"Approved","Outbreak response",2023-03-29,1300000,1900000,1900000,2023-04-07,59,"ETH",9
2023,"Zambia",202309,"Approved","Outbreak response",2023-04-18,5100000,628200,628300,2023-05-08,222,"ZMB",20
2023,"Kenya",202310,"Approved","Outbreak response",2023-06-08,9900000,1500000,1578000,2023-06-29,86,"KEN",21
2023,"Cameroon",202311,"Approved","Outbreak response",2023-06-08,4200000,1800000,1800000,2023-06-19,14,"CMR",11
2023,"Somalia",202312,"Approved","Outbreak response",2023-06-15,590800,590800,590800,2023-06-26,147,"SOM",11
2023,"Ethiopia",202313,"Approved","Outbreak response",2023-07-09,5900000,2200000,2200000,2023-07-20,58,"ETH",11
2023,"Kenya",202314,"Approved","Outbreak response",2023-07-06,1900000,175600,175600,2023-07-19,85,"KEN",13
2023,"Ethiopia",202315,"Approved","Outbreak response",2023-08-03,1900000,1900000,1900000,2023-08-12,57,"ETH",9
2023,"Mozambique",202316,"Approved","Outbreak response",2023-09-15,924500,513799,513799,2023-09-29,106,"MOZ",14
2023,"Ethiopia",202317,"Approved","Outbreak response",2023-10-17,2e+06,862400,862400,2023-10-27,56,"ETH",10
2023,"Democratic Republic of Congo",202318,"Approved","Outbreak response",2023-10-02,5e+06,5e+06,5e+06,2023-10-11,38,"COD",9
2023,"Ethiopia",202319,"Approved","Outbreak response",2023-10-04,1500000,1500000,1500000,2023-10-20,55,"ETH",16
2023,"Mozambique",202322,"Approved","Outbreak response",2023-12-04,2400000,2300000,2300000,2023-12-29,105,"MOZ",25
2023,"Ethiopia",202323,"Approved","Outbreak response",2024-01-17,1800000,766200,288000,2024-02-17,54,"ETH",31
2023,"Ethiopia",202324,"Approved","Outbreak response",2023-12-04,2100000,1200000,1200000,2023-12-16,53,"ETH",12
2023,"Zambia",202326,"Approved","Outbreak response",2023-12-28,3500000,1700000,1701100,2024-01-12,221,"ZMB",15
2023,"Zimbabwe",202327,"Approved","Outbreak response",2024-01-11,2400000,2300000,2300000,2024-01-25,231,"ZWE",14
2024,"Somalia",202402,"Approved","Outbreak response",2024-02-01,1900000,1400000,1400000,2024-03-30,146,"SOM",58
2024,"Zambia",202403,"Approved","Outbreak response",2024-02-07,3600000,2200000,2200000,2024-04-05,220,"ZMB",58
2024,"Ethiopia",202407,"Approved","Outbreak response",2024-06-25,2600000,1700000,1700000,2024-07-04,52,"ETH",9
2024,"Mozambique",202408,"Approved","Outbreak response",2024-06-19,107500,107500,107500,2024-07-15,104,"MOZ",26
2024,"Zimbabwe",202409,"Approved","Outbreak response",2024-06-24,2100000,213600,213600,2024-07-06,230,"ZWE",12
2024,"Nigeria",202410,"Approved","Outbreak response",2024-07-10,6100000,4500000,4500000,2024-07-21,130,"NGA",11
2024,"Niger",202416,"Approved","Outbreak response",2024-09-27,1100000,1100000,1100000,2024-10-16,123,"NER",19
2024,"Ethiopia",202417,"Approved","Outbreak response",2024-10-03,2e+06,2e+06,1265000,2024-10-21,51,"ETH",18
2024,"Ghana",202421,"Approved","Outbreak response",2024-11-08,158500,158500,158500,2024-11-22,73,"GHA",14
2024,"Niger",202422,"Approved","Outbreak response",2024-11-08,775900,79800,79800,2024-11-27,122,"NER",19
2024,"South Sudan",202423,"Approved","Outbreak response",2024-11-08,151200,151200,151200,2024-11-30,170,"SSD",22
2024,"South Sudan",202425,"Approved","Outbreak response",2024-11-22,130900,130900,131000,2024-12-03,169,"SSD",11
2024,"Ghana",202426,"Approved","Outbreak response",2024-11-26,623600,623600,623600,2024-12-06,72,"GHA",10
2024,"South Sudan",202427,"Approved","Outbreak response",2024-12-06,1100000,1100000,1100000,2024-12-29,168,"SSD",23
2024,"Mozambique",202428,"Approved","Outbreak response",2024-12-04,199700,199700,2e+05,2024-12-20,103,"MOZ",16
2024,"Malawi",202430,"Approved","Outbreak response",2024-12-16,978200,720200,720200,2025-01-03,91,"MWI",18
2024,"South Sudan",202432,"Approved","Outbreak response",2024-12-20,1100000,1100000,1100000,2025-01-10,167,"SSD",21
2024,"South Sudan",202433,"Approved","Outbreak response",2025-01-06,96200,96200,96200,2025-01-14,165,"SSD",8
2024,"South Sudan",202433,"Approved","Outbreak response",2024-12-23,738700,225200,225200,2025-01-09,166,"SSD",17
2025,"Democratic Republic of Congo",202502,"Approved","Outbreak response",2025-01-09,1500000,979100,979200,2025-01-24,37,"COD",15
2025,"South Sudan",202503,"Approved","Outbreak response",2025-01-09,258300,258300,258300,2025-01-21,164,"SSD",12
2025,"South Sudan",202504,"Approved","Outbreak response",2025-01-10,1200000,1200000,1200000,2025-01-28,163,"SSD",18
2025,"Angola",202506,"Approved","Outbreak response",2025-01-15,948500,948500,948500,2025-01-27,3,"AGO",12
2025,"Ghana",202507,"Approved","Outbreak response",2025-01-27,301000,301000,301000,2025-02-06,71,"GHA",10
2025,"Ghana",202508,"Approved","Outbreak response",2025-02-04,85600,85600,85600,2025-02-09,70,"GHA",5
2025,"Democratic Republic of Congo",202510,"Approved","Outbreak response",2025-02-07,1900000,1900000,1900000,2025-02-17,36,"COD",10
2025,"South Sudan",202511,"Approved","Outbreak response",2025-02-11,2300000,1100000,1100000,2025-02-26,162,"SSD",15
