"year","country","request_number","status","context","decision_date","doses_requested","doses_approved","doses_shipped","campaign_date","id","iso_code","delay"
2025,"Ghana",202512,"Approved","Outbreak response",2025-02-13,74800,74800,74800,2025-02-20,69,"GHA",7
2025,"South Sudan",202513,"Approved","Outbreak response",2025-02-19,306000,306000,306000,2025-03-04,161,"SSD",13
2025,"Angola",202514,"Approved","Outbreak response",2025-02-27,700500,700500,700400,2025-03-17,2,"AGO",18
2025,"Ethiopia",202516,"Approved","Outbreak response",2025-03-04,1e+06,1e+06,1e+06,2025-03-12,50,"ETH",8
2025,"South Sudan",202517,"Approved","Outbreak response",2025-03-05,1700000,1700000,1700000,2025-03-18,160,"SSD",13
2025,"Ghana",202518,"Approved","Outbreak response",2025-03-11,542000,542000,534500,2025-03-23,68,"GHA",12
2025,"Mozambique",202519,"Approved","Outbreak response",2025-04-11,2400000,2400000,2400000,2025-05-07,102,"MOZ",26
2025,"South Sudan",202522,"Approved","Outbreak response",2025-05-16,961700,639700,278400,2025-05-27,159,"SSD",11
2025,"Democratic Republic of Congo",202523,"Approved","Outbreak response",2025-05-16,3e+06,3e+06,2e+06,2025-05-27,35,"COD",11
2025,"South Sudan",202524,"Approved","Outbreak response",2025-05-22,842800,842800,842900,2025-06-10,158,"SSD",19
2025,"Angola",202525,"Approved","Outbreak response",2025-06-09,2e+06,2e+06,2e+06,2025-06-23,1,"AGO",14
2025,"South Sudan",202527,"Approved","Outbreak response",2025-06-10,512900,409900,410000,2025-06-27,157,"SSD",17
2025,"South Sudan",202529,"Approved","Outbreak response",2025-07-01,620000,620000,499800,2025-07-16,156,"SSD",15
2025,"Kenya",202531,"Approved","Outbreak response",2025-07-14,2600000,297200,297200,2025-08-25,84,"KEN",42
2025,"Nigeria",202532,"Approved","Outbreak response",2025-07-22,1200000,1200000,940400,2025-07-30,129,"NGA",8
2025,"South Sudan",202533,"Approved","Outbreak response",2025-07-31,452000,452000,4e+05,2025-08-12,155,"SSD",12
2025,"Democratic Republic of Congo",202534,"Approved","Outbreak response",2025-07-24,3700000,3700000,3700000,2025-08-08,34,"COD",15
2025,"Côte d’Ivoire",202535,"Approved","Outbreak response",2025-07-30,76300,76300,76300,2025-08-12,83,"CIV",13
2025,"Democratic Republic of Congo",202537,"Approved","Outbreak response",2025-08-13,3900000,2200000,3e+06,2025-08-22,33,"COD",9
2025,"Chad",202538,"Approved","Outbreak response",2025-08-14,1400000,870900,1121000,2025-08-28,30,"TCD",14
2025,"Congo",202541,"Approved","Outbreak response",2025-08-25,213000,137800,137800,2025-09-10,144,"COG",16
2025,"Chad",202543,"Approved","Outbreak response",2025-08-26,286500,286500,286600,2025-09-06,29,"TCD",11
2025,"Chad",202544,"Approved","Outbreak response",2025-09-04,736500,736500,736500,2025-09-16,28,"TCD",12
2025,"Nigeria",202545,"Approved","Outbreak response",2025-10-03,1700000,641000,641000,2025-10-20,128,"NGA",17
2025,"Chad",202547,"Approved","Outbreak response",2025-09-24,318900,275000,25000,2025-10-03,27,"TCD",9
2025,"Ethiopia",202548,"Approved","Outbreak response",2025-09-25,2700000,391100,391100,2025-10-06,49,"ETH",11
2025,"Nigeria",202551,"Approved","Outbreak response",2025-11-06,619000,467600,242600,2025-11-17,127,"NGA",11
2025,"Chad",202552,"Approved","Outbreak response",2025-11-14,0,137600,137600,2025-11-24,25,"TCD",10
2025,"Chad",202552,"Approved","Outbreak response",2025-11-07,345700,155800,405800,2025-11-17,26,"TCD",10
2025,"Zambia",202554,"Approved","Outbreak response",2025-12-04,152000,151300,121300,2025-12-16,219,"ZMB",12
2017,"Cameroon",NA,"Approved","Outbreak response",2017-03-02,278600,278600,278600,2017-05-01,23,"CMR",60
2020,"Democratic Republic of Congo",NA,"Approved","Outbreak response",2021-08-12,NA,1300000,1300000,2021-08-30,41,"COD",18
2020,"Democratic Republic of Congo",NA,"Approved","Outbreak response",2020-06-23,5500000,5500000,5400000,2020-11-28,42,"COD",158
2018,"Democratic Republic of Congo",NA,"Approved","Outbreak response",2018-11-02,2500000,2500000,2400000,2018-11-14,45,"COD",12
2014,"Democratic Republic of Congo",NA,"Pending","Outbreak response",NA,120000,NA,120000,2014-07-01,48,"COD",NA
2014,"Guinea",NA,"Pending","Outbreak response",NA,284700,NA,284700,2014-07-01,74,"GIN",NA
2017,"Malawi",NA,"Approved","Outbreak response",2020-01-15,0,676000,664400,2020-11-06,96,"MWI",296
2017,"Malawi",NA,"Approved","Outbreak response",2017-04-07,3200000,3200000,3243800,2017-08-25,97,"MWI",140
2016,"Malawi",NA,"Approved","Outbreak response",2016-10-19,180000,180000,180000,2016-10-25,100,"MWI",6
2022,"Nigeria",NA,"Approved","Outbreak response",2022-02-14,1e+07,1e+07,1e+06,2022-06-03,131,"NGA",109
2018,"Nigeria",NA,"Approved","Outbreak response",2018-10-22,5400000,5400000,5400000,2018-11-11,137,"NGA",20
2018,"Somalia",NA,"Approved","Outbreak response",2018-10-12,1300000,1300000,1287800,2019-01-21,150,"SOM",101
2017,"Somalia",NA,"Approved","Outbreak response",2017-12-15,386600,386600,386700,2018-01-08,153,"SOM",24
2016,"Somalia",NA,"Approved","Outbreak response",2016-12-19,953200,953200,929600,2017-02-22,154,"SOM",65
2019,"South Sudan",NA,"Approved","Outbreak response",2019-03-27,2900000,2900000,1957700,2019-10-31,172,"SSD",218
2017,"South Sudan",NA,"Approved","Outbreak response",2017-07-12,2100000,2100000,2100000,2017-07-17,176,"SSD",5
2014,"South Sudan",NA,"Pending","Outbreak response",NA,50000,NA,50000,2014-07-01,182,"SSD",NA
2014,"South Sudan",NA,"Pending","Outbreak response",NA,64000,NA,64000,2014-07-01,183,"SSD",NA
2019,"Tanzania",NA,"Approved","Outbreak response",2020-10-08,655800,655800,655800,2021-02-03,209,"TZA",118
2018,"Uganda",NA,"Pending","Outbreak response",NA,NA,NA,2e+06,2020-09-07,213,"UGA",NA
2018,"Uganda",NA,"Approved","Outbreak response",2018-03-07,3400000,3400000,2076100,2018-04-12,214,"UGA",36
2020,"Zambia",NA,"Approved","Outbreak response",2020-06-22,NA,5800000,5800000,2020-10-01,223,"ZMB",101
2017,"Zambia",NA,"Approved","Outbreak response",2017-12-15,0,667100,667100,2018-03-28,226,"ZMB",103
2017,"Zambia",NA,"Approved","Outbreak response",2017-12-15,4099999,2100000,2100000,2018-01-06,227,"ZMB",22
