"","mean","sd","Q2.5","Q97.5","Rhat","n.eff","AC10"
"gamma",1.29810133275936,0.00313090527355798,1.29194463307193,1.30424954483645,1.01,1058,0.01
"omega",0.638571107608049,0.00210645222449877,0.634468185813619,0.642565144372197,1.01,1086,0.02
"tau",0.26367784331523,0.000517762047210297,0.262631589661008,0.264652290129444,1,1112,0.01
"theta",0.000754822968156137,9.00319225249816e-07,0.000753125114745244,0.000756654412445767,1,2225,-0.01
