"parameter","mean","sd","Q2.5","Q97.5","Rhat","n.eff","AC10"
"gamma",1.36060769446728,0.0086344468944647,1.34398891177205,1.37810549500963,1,1456,0
"omega",0.612600573300919,0.00553520135734219,0.602179351564503,0.623685341666416,1,985,-0.03
"tau",0.262645933492524,0.00134218846331347,0.260022126878825,0.265292734766209,1,1000,-0.01
"theta",0.000107370090428518,3.3354387482487e-07,0.000106747876925079,0.000108009036434268,1,1120,-0.03
