"source","author_year","strain","exposure","endpoint","n_volunteers","id50","id50_lo","id50_hi","weight","study_type"
"Hornick 1971 (buffered)","Hornick et al. 1971","O1 Classical Inaba 569B","NaHCO3 buffered","clinical cholera (diarrhoea)",30,1e+06,1e+05,1e+08,1,"Volunteer challenge"
"Hornick 1971 (water only)","Hornick et al. 1971","O1 Classical Inaba 569B","unbuffered water","clinical cholera (diarrhoea)",4,1e+11,1e+10,1e+12,0,"Volunteer challenge"
"Cash 1974","Cash et al. 1974","O1 El Tor N16961","NaHCO3 buffered","clinical cholera",6,5e+05,1e+05,1e+06,1,"Volunteer challenge"
"Levine 1981","Levine et al. 1981","O1 Classical","NaHCO3 buffered","diarrhoeal illness",8,10000,1000,1e+05,1,"Volunteer challenge"
"Levine 1988","Levine et al. 1988","O1 El Tor CVD 103-HgR challenge","NaHCO3 buffered","diarrhoeal illness",12,1e+05,10000,1e+06,1,"Volunteer challenge"
"Tacket 1999","Tacket et al. 1999","O139","NaHCO3 buffered","moderate/severe diarrhoea",15,1e+05,10000,1e+06,1,"Volunteer challenge"
"Haas/QMRA 1999 (disease)","Haas, Rose & Gerba 1999","O1 Classical (Hornick data)","NaHCO3 buffered","Beta-Poisson disease endpoint",NA,1e+06,1e+05,1e+08,0.5,"QMRA synthesis"
"Nelson 2009 (water)","Nelson et al. 2009","O1 (review)","water, healthy adults","clinical review",NA,1e+05,1000,1e+08,0,"Expert review"
"Nelson 2009 (with food)","Nelson et al. 2009","O1 (review)","food vehicle","clinical review",NA,1000,100,10000,0.25,"Expert review"
"Kaper 1995 review","Kaper, Morris & Levine 1995","O1 (review)","mixed","clinical review",NA,1e+05,10000,1e+06,0.5,"Expert review"
"Codeco 2001 (model)","Codeco 2001","generic (model kappa)","environmental reservoir","50% infection probability",NA,1e+06,1e+05,1e+07,0,"Model convention"
"Hartley 2006 (non-HI)","Hartley, Morris & Smith 2006","O1 non-hyperinfectious (model)","environmental reservoir","50% infection probability",NA,1e+06,1e+05,1e+07,0,"Model convention"
"Hartley 2006 (HI)","Hartley, Morris & Smith 2006","O1 hyperinfectious (model)","freshly shed / hyperinfectious","50% infection probability",NA,1000,100,10000,0,"Model convention"
