"variable_name","variable_description","parameter_distribution","i","j","t","parameter_name","parameter_value"
"pi","Probability of travel from i to j","point","AGO","AGO",NA,"mean",NA
"pi","Probability of travel from i to j","point","BDI","AGO",NA,"mean",0.0160487164090989
"pi","Probability of travel from i to j","point","BEN","AGO",NA,"mean",0.00699023076231451
"pi","Probability of travel from i to j","point","BFA","AGO",NA,"mean",0.00862480273792173
"pi","Probability of travel from i to j","point","BWA","AGO",NA,"mean",0.0637374213137482
"pi","Probability of travel from i to j","point","CAF","AGO",NA,"mean",0.0221480657344691
"pi","Probability of travel from i to j","point","CIV","AGO",NA,"mean",0.0111007746322238
"pi","Probability of travel from i to j","point","CMR","AGO",NA,"mean",0.0168063895809936
"pi","Probability of travel from i to j","point","COD","AGO",NA,"mean",0.0586544455140804
"pi","Probability of travel from i to j","point","COG","AGO",NA,"mean",0.0460921416312638
"pi","Probability of travel from i to j","point","ERI","AGO",NA,"mean",0.0112512603897092
"pi","Probability of travel from i to j","point","ETH","AGO",NA,"mean",0.0171316576102325
"pi","Probability of travel from i to j","point","GAB","AGO",NA,"mean",0.0385572338324339
"pi","Probability of travel from i to j","point","GHA","AGO",NA,"mean",0.00942143495265696
"pi","Probability of travel from i to j","point","GIN","AGO",NA,"mean",0.00928099573901723
"pi","Probability of travel from i to j","point","GMB","AGO",NA,"mean",0.00528795319787362
"pi","Probability of travel from i to j","point","GNB","AGO",NA,"mean",0.00771555986134148
"pi","Probability of travel from i to j","point","GNQ","AGO",NA,"mean",0.0243129099136156
"pi","Probability of travel from i to j","point","KEN","AGO",NA,"mean",0.0142687172601954
"pi","Probability of travel from i to j","point","LBR","AGO",NA,"mean",0.0103217553044293
"pi","Probability of travel from i to j","point","LSO","AGO",NA,"mean",0.0196589605450113
"pi","Probability of travel from i to j","point","MLI","AGO",NA,"mean",0.0109855056697597
"pi","Probability of travel from i to j","point","MOZ","AGO",NA,"mean",0.0294988903498022
"pi","Probability of travel from i to j","point","MRT","AGO",NA,"mean",0.0121348974872084
"pi","Probability of travel from i to j","point","MWI","AGO",NA,"mean",0.0259746342332546
"pi","Probability of travel from i to j","point","NAM","AGO",NA,"mean",0.111164723423198
"pi","Probability of travel from i to j","point","NER","AGO",NA,"mean",0.0110225852906361
"pi","Probability of travel from i to j","point","NGA","AGO",NA,"mean",0.0222560149037102
"pi","Probability of travel from i to j","point","RWA","AGO",NA,"mean",0.0146035540441798
"pi","Probability of travel from i to j","point","SEN","AGO",NA,"mean",0.0102845332950877
"pi","Probability of travel from i to j","point","SLE","AGO",NA,"mean",0.00887121255326316
"pi","Probability of travel from i to j","point","SOM","AGO",NA,"mean",0.0113292971725198
"pi","Probability of travel from i to j","point","SSD","AGO",NA,"mean",0.0155032485930657
"pi","Probability of travel from i to j","point","SWZ","AGO",NA,"mean",0.0319671801355309
"pi","Probability of travel from i to j","point","TCD","AGO",NA,"mean",0.0165157121268824
"pi","Probability of travel from i to j","point","TGO","AGO",NA,"mean",0.00632455913838357
"pi","Probability of travel from i to j","point","TZA","AGO",NA,"mean",0.024214890316717
"pi","Probability of travel from i to j","point","UGA","AGO",NA,"mean",0.0159924784582417
"pi","Probability of travel from i to j","point","ZAF","AGO",NA,"mean",0.0610718665704491
"pi","Probability of travel from i to j","point","ZMB","AGO",NA,"mean",0.0611219756655516
"pi","Probability of travel from i to j","point","ZWE","AGO",NA,"mean",0.0440083159262875
"pi","Probability of travel from i to j","point","AGO","BDI",NA,"mean",0.0186716329734367
"pi","Probability of travel from i to j","point","BDI","BDI",NA,"mean",NA
"pi","Probability of travel from i to j","point","BEN","BDI",NA,"mean",0.00224672467611257
"pi","Probability of travel from i to j","point","BFA","BDI",NA,"mean",0.00281830970794978
"pi","Probability of travel from i to j","point","BWA","BDI",NA,"mean",0.0114891159211472
"pi","Probability of travel from i to j","point","CAF","BDI",NA,"mean",0.0145517848691264
"pi","Probability of travel from i to j","point","CIV","BDI",NA,"mean",0.00323641750771189
"pi","Probability of travel from i to j","point","CMR","BDI",NA,"mean",0.00620577966444944
"pi","Probability of travel from i to j","point","COD","BDI",NA,"mean",0.0556793954093015
"pi","Probability of travel from i to j","point","COG","BDI",NA,"mean",0.012465106821141
"pi","Probability of travel from i to j","point","ERI","BDI",NA,"mean",0.00990645842550245
"pi","Probability of travel from i to j","point","ETH","BDI",NA,"mean",0.0192612680199332
"pi","Probability of travel from i to j","point","GAB","BDI",NA,"mean",0.00896263501076666
"pi","Probability of travel from i to j","point","GHA","BDI",NA,"mean",0.00280740691834813
"pi","Probability of travel from i to j","point","GIN","BDI",NA,"mean",0.00282897919550395
"pi","Probability of travel from i to j","point","GMB","BDI",NA,"mean",0.00167146296645827
"pi","Probability of travel from i to j","point","GNB","BDI",NA,"mean",0.00239774259476247
"pi","Probability of travel from i to j","point","GNQ","BDI",NA,"mean",0.0065099619087601
"pi","Probability of travel from i to j","point","KEN","BDI",NA,"mean",0.026268753855674
"pi","Probability of travel from i to j","point","LBR","BDI",NA,"mean",0.0029457939107456
"pi","Probability of travel from i to j","point","LSO","BDI",NA,"mean",0.00530443781914448
"pi","Probability of travel from i to j","point","MLI","BDI",NA,"mean",0.00384204199618434
"pi","Probability of travel from i to j","point","MOZ","BDI",NA,"mean",0.016640681236555
"pi","Probability of travel from i to j","point","MRT","BDI",NA,"mean",0.00420304168447366
"pi","Probability of travel from i to j","point","MWI","BDI",NA,"mean",0.0196146420915121
"pi","Probability of travel from i to j","point","NAM","BDI",NA,"mean",0.0123328944419854
"pi","Probability of travel from i to j","point","NER","BDI",NA,"mean",0.00471865266309061
"pi","Probability of travel from i to j","point","NGA","BDI",NA,"mean",0.00796932519168917
"pi","Probability of travel from i to j","point","RWA","BDI",NA,"mean",0.261981210379468
"pi","Probability of travel from i to j","point","SEN","BDI",NA,"mean",0.00328883693741969
"pi","Probability of travel from i to j","point","SLE","BDI",NA,"mean",0.00262878215047331
"pi","Probability of travel from i to j","point","SOM","BDI",NA,"mean",0.011295327560882
"pi","Probability of travel from i to j","point","SSD","BDI",NA,"mean",0.0205507145698712
"pi","Probability of travel from i to j","point","SWZ","BDI",NA,"mean",0.0101123591935352
"pi","Probability of travel from i to j","point","TCD","BDI",NA,"mean",0.00938498525435467
"pi","Probability of travel from i to j","point","TGO","BDI",NA,"mean",0.00194424002845648
"pi","Probability of travel from i to j","point","TZA","BDI",NA,"mean",0.0546842111275625
"pi","Probability of travel from i to j","point","UGA","BDI",NA,"mean",0.0476710354934506
"pi","Probability of travel from i to j","point","ZAF","BDI",NA,"mean",0.0142835431516202
"pi","Probability of travel from i to j","point","ZMB","BDI",NA,"mean",0.0247507710279423
"pi","Probability of travel from i to j","point","ZWE","BDI",NA,"mean",0.0149771247098544
"pi","Probability of travel from i to j","point","AGO","BEN",NA,"mean",0.00844345959530298
"pi","Probability of travel from i to j","point","BDI","BEN",NA,"mean",0.0023325812093088
"pi","Probability of travel from i to j","point","BEN","BEN",NA,"mean",NA
"pi","Probability of travel from i to j","point","BFA","BEN",NA,"mean",0.0604926905831444
"pi","Probability of travel from i to j","point","BWA","BEN",NA,"mean",0.00436254969438837
"pi","Probability of travel from i to j","point","CAF","BEN",NA,"mean",0.00967284662159024
"pi","Probability of travel from i to j","point","CIV","BEN",NA,"mean",0.0340803371709998
"pi","Probability of travel from i to j","point","CMR","BEN",NA,"mean",0.015135236727424
"pi","Probability of travel from i to j","point","COD","BEN",NA,"mean",0.00732814725293474
"pi","Probability of travel from i to j","point","COG","BEN",NA,"mean",0.0110348170739629
"pi","Probability of travel from i to j","point","ERI","BEN",NA,"mean",0.00427317411640845
"pi","Probability of travel from i to j","point","ETH","BEN",NA,"mean",0.00520112519748247
"pi","Probability of travel from i to j","point","GAB","BEN",NA,"mean",0.014200816224655
"pi","Probability of travel from i to j","point","GHA","BEN",NA,"mean",0.0757280920664013
"pi","Probability of travel from i to j","point","GIN","BEN",NA,"mean",0.0177692683490692
"pi","Probability of travel from i to j","point","GMB","BEN",NA,"mean",0.00778069252329433
"pi","Probability of travel from i to j","point","GNB","BEN",NA,"mean",0.0114676561164943
"pi","Probability of travel from i to j","point","GNQ","BEN",NA,"mean",0.0165645160207063
"pi","Probability of travel from i to j","point","KEN","BEN",NA,"mean",0.00311929879946737
"pi","Probability of travel from i to j","point","LBR","BEN",NA,"mean",0.0194143873024815
"pi","Probability of travel from i to j","point","LSO","BEN",NA,"mean",0.00228041465872791
"pi","Probability of travel from i to j","point","MLI","BEN",NA,"mean",0.0340045716214031
"pi","Probability of travel from i to j","point","MOZ","BEN",NA,"mean",0.00350086499764691
"pi","Probability of travel from i to j","point","MRT","BEN",NA,"mean",0.0213476814834084
"pi","Probability of travel from i to j","point","MWI","BEN",NA,"mean",0.00294489943070772
"pi","Probability of travel from i to j","point","NAM","BEN",NA,"mean",0.00661271551938017
"pi","Probability of travel from i to j","point","NER","BEN",NA,"mean",0.0235885675064061
"pi","Probability of travel from i to j","point","NGA","BEN",NA,"mean",0.0798640903157746
"pi","Probability of travel from i to j","point","RWA","BEN",NA,"mean",0.00235992932164858
"pi","Probability of travel from i to j","point","SEN","BEN",NA,"mean",0.0159452415284161
"pi","Probability of travel from i to j","point","SLE","BEN",NA,"mean",0.0151107229061462
"pi","Probability of travel from i to j","point","SOM","BEN",NA,"mean",0.00317066711687137
"pi","Probability of travel from i to j","point","SSD","BEN",NA,"mean",0.00485147844549608
"pi","Probability of travel from i to j","point","SWZ","BEN",NA,"mean",0.00367151615709498
"pi","Probability of travel from i to j","point","TCD","BEN",NA,"mean",0.0139459889066588
"pi","Probability of travel from i to j","point","TGO","BEN",NA,"mean",0.163734976893686
"pi","Probability of travel from i to j","point","TZA","BEN",NA,"mean",0.0035652712463298
"pi","Probability of travel from i to j","point","UGA","BEN",NA,"mean",0.00345163746271786
"pi","Probability of travel from i to j","point","ZAF","BEN",NA,"mean",0.00650238564464614
"pi","Probability of travel from i to j","point","ZMB","BEN",NA,"mean",0.0041231976689976
"pi","Probability of travel from i to j","point","ZWE","BEN",NA,"mean",0.00377303506594924
"pi","Probability of travel from i to j","point","AGO","BFA",NA,"mean",0.010767060970852
"pi","Probability of travel from i to j","point","BDI","BFA",NA,"mean",0.00302409004849024
"pi","Probability of travel from i to j","point","BEN","BFA",NA,"mean",0.0625204343208977
"pi","Probability of travel from i to j","point","BFA","BFA",NA,"mean",NA
"pi","Probability of travel from i to j","point","BWA","BFA",NA,"mean",0.00597393262216186
"pi","Probability of travel from i to j","point","CAF","BFA",NA,"mean",0.0111983043683023
"pi","Probability of travel from i to j","point","CIV","BFA",NA,"mean",0.0880977092193376
"pi","Probability of travel from i to j","point","CMR","BFA",NA,"mean",0.0142159963713203
"pi","Probability of travel from i to j","point","COD","BFA",NA,"mean",0.0090345092221704
"pi","Probability of travel from i to j","point","COG","BFA",NA,"mean",0.0121176362004182
"pi","Probability of travel from i to j","point","ERI","BFA",NA,"mean",0.00597983277940218
"pi","Probability of travel from i to j","point","ETH","BFA",NA,"mean",0.00716105130436188
"pi","Probability of travel from i to j","point","GAB","BFA",NA,"mean",0.0147307803718617
"pi","Probability of travel from i to j","point","GHA","BFA",NA,"mean",0.105079393966681
"pi","Probability of travel from i to j","point","GIN","BFA",NA,"mean",0.0492652495938095
"pi","Probability of travel from i to j","point","GMB","BFA",NA,"mean",0.0193972345728302
"pi","Probability of travel from i to j","point","GNB","BFA",NA,"mean",0.0284542020350563
"pi","Probability of travel from i to j","point","GNQ","BFA",NA,"mean",0.0156545449498284
"pi","Probability of travel from i to j","point","KEN","BFA",NA,"mean",0.00421801000160414
