"country","iso_code","date","year","month","week","doses","raw_content"
"Nigeria","NGA",2018-07-04,2018,7,27,377900,"Round C01-R01 377.9K doses"
"Nigeria","NGA",2018-05-09,2018,5,19,125900,"Round C01-R01 125.9K doses"
"Nigeria","NGA",2018-05-09,2018,5,19,585000,"Round C01-R01 585K doses"
"Nigeria","NGA",2018-11-28,2018,11,48,1300000,"Round C01-R01 1.3M doses"
"Nigeria","NGA",2019-03-01,2019,3,9,1200000,"Round C01-R02 1.2M doses"
"Nigeria","NGA",2019-03-01,2019,3,9,1300000,"Round C02-R01 1.3M doses"
"Nigeria","NGA",2019-09-07,2019,9,36,1300000,"Round C02-R02 1.3M doses"
"Nigeria","NGA",2017-12-08,2017,12,49,883600,"Round C01-R02 883.6K doses"
"Nigeria","NGA",2017-09-18,2017,9,38,NA,"Round C01-R01 (Unknown) doses"
"Sierra Leone","SLE",2017-09-15,2017,9,37,NA,"Round C01-R01 (Unknown) doses"
"Somalia","SOM",2024-04-28,2024,4,17,NA,"Round C01-R01 (Unknown) doses"
"Somalia","SOM",2023-08-12,2023,8,32,535800,"Round C01-R01 535.8K doses"
"Somalia","SOM",2023-01-22,2023,1,3,905200,"Round C01-R01 905.2K doses"
"Somalia","SOM",2022-06-14,2022,6,24,897100,"Round C01-R01 897.1K doses"
"Somalia","SOM",2022-09-05,2022,9,36,888100,"Round C01-R02 888.1K doses"
"Somalia","SOM",2019-06-22,2019,6,25,621900,"Round C01-R01 621.9K doses"
"Somalia","SOM",2019-07-17,2019,7,29,630000,"Round C01-R02 630K doses"
"Somalia","SOM",2018-02-08,2018,2,6,176600,"Round C01-R01 176.6K doses"
"Somalia","SOM",2018-03-31,2018,3,13,169100,"Round C01-R02 169.1K doses"
"South Sudan","SSD",2020-04-02,2020,4,14,16500,"Round C01-R01 16.5K doses"
"South Sudan","SSD",2019-11-18,2019,11,47,63200,"Round C01-R01 63.2K doses"
"South Sudan","SSD",2019-12-09,2019,12,50,65500,"Round C01-R02 65.5K doses"
"South Sudan","SSD",2022-01-24,2022,1,4,173200,"Round C02-R01 173.2K doses"
"South Sudan","SSD",2022-03-14,2022,3,11,175000,"Round C02-R02 175K doses"
"South Sudan","SSD",2022-05-12,2022,5,19,25200,"Round C03-R01 25.2K doses"
"South Sudan","SSD",2022-06-04,2022,6,22,32100,"Round C03-R02 32.1K doses"
"South Sudan","SSD",2022-05-28,2022,5,21,649700,"Round C04-R01 649.7K doses"
"South Sudan","SSD",2022-07-22,2022,7,29,612600,"Round C04-R02 612.6K doses"
"South Sudan","SSD",2022-09-03,2022,9,35,41600,"Round C05-R01 41.6K doses"
"South Sudan","SSD",2018-07-13,2018,7,28,NA,"Round C01-R01 (Unknown) doses"
"South Sudan","SSD",2018-07-04,2018,7,27,NA,"Round C01-R02 (Unknown) doses"
"South Sudan","SSD",2017-03-15,2017,3,11,NA,"Round C01-R01 (Unknown) doses"
"South Sudan","SSD",2017-02-27,2017,2,9,NA,"Round C01-R01 (Unknown) doses"
"South Sudan","SSD",2018-07-31,2018,7,31,NA,"Round C05-R01 (Unknown) doses"
"South Sudan","SSD",2015-08-13,2015,8,33,NA,"Round C01-R01 (Unknown) doses"
"South Sudan","SSD",2015-09-02,2015,9,36,NA,"Round C01-R02 (Unknown) doses"
"South Sudan","SSD",2015-07-30,2015,7,31,NA,"Round C01-R01 (Unknown) doses"
"South Sudan","SSD",2015-06-22,2015,6,26,NA,"Round C01-R01 (Unknown) doses"
"South Sudan","SSD",2015-07-06,2015,7,28,NA,"Round C01-R02 (Unknown) doses"
"South Sudan","SSD",2015-06-02,2015,6,23,NA,"Round C01-R01 (Unknown) doses"
"South Sudan","SSD",2015-06-19,2015,6,25,NA,"Round C01-R02 (Unknown) doses"
"Tanzania","TZA",2021-07-03,2021,7,26,283900,"Round C01-R01 283.9K doses"
"Tanzania","TZA",2021-08-07,2021,8,31,216200,"Round C01-R02 216.2K doses"
"Tanzania","TZA",2015-07-13,2015,7,29,NA,"Round C01-R02 (Unknown) doses"
"Tanzania","TZA",2015-06-22,2015,6,26,NA,"Round C01-R01 (Unknown) doses"
"Tanzania","TZA",2015-07-13,2015,7,29,NA,"Round C01-R02 (Unknown) doses"
"Uganda","UGA",2020-06-07,2020,6,23,66500,"Round C01-R01 66.5K doses"
"Uganda","UGA",2020-08-30,2020,8,35,65200,"Round C01-R02 65.2K doses"
"Uganda","UGA",2020-10-24,2020,10,43,1100000,"Round C03-R01 1.1M doses"
"Uganda","UGA",2018-05-02,2018,5,18,357200,"Round C01-R01 357.2K doses"
"Uganda","UGA",2018-06-26,2018,6,26,332900,"Round C01-R02 332.9K doses"
"Uganda","UGA",2019-04-29,2019,4,18,562000,"Round C02-R01 562K doses"
"Uganda","UGA",2019-12-09,2019,12,50,693900,"Round C02-R02 693.9K doses"
"Zambia","ZMB",2024-06-23,2024,6,25,NA,"Round C01-R01 (Unknown) doses"
"Zambia","ZMB",2024-01-16,2024,1,3,1900000,"Round C01-R01 1.9M doses"
"Zambia","ZMB",2023-06-05,2023,6,23,426600,"Round C01-R01 426.6K doses"
"Zambia","ZMB",2020-12-21,2020,12,52,147600,"Round C01-R01 147.6K doses"
"Zambia","ZMB",2021-02-24,2021,2,8,123100,"Round C01-R02 123.1K doses"
"Zambia","ZMB",2021-03-13,2021,3,10,1100000,"Round C02-R01 1.1M doses"
"Zambia","ZMB",2021-11-15,2021,11,46,1200000,"Round C02-R02 1.2M doses"
"Zambia","ZMB",2022-02-14,2022,2,7,1500000,"Round C03-R01 1.5M doses"
"Zambia","ZMB",2022-03-11,2022,3,10,1600000,"Round C03-R02 1.6M doses"
"Zambia","ZMB",2019-07-17,2019,7,29,131000,"Round C01-R02 131K doses"
"Zambia","ZMB",2019-05-22,2019,5,21,116100,"Round C01-R01 116.1K doses"
"Zambia","ZMB",2018-04-18,2018,4,16,NA,"Round C01-R02 (Unknown) doses"
"Zambia","ZMB",2018-01-10,2018,1,2,NA,"Round C01-R01 (Unknown) doses"
"Zambia","ZMB",2018-02-05,2018,2,6,NA,"Round C01-R02 (Unknown) doses"
"Zambia","ZMB",2016-12-16,2016,12,50,437100,"Round C01-R02 437.1K doses"
"Zambia","ZMB",2016-04-09,2016,4,14,NA,"Round C01-R01 (Unknown) doses"
"Zimbabwe","ZWE",2024-07-22,2024,7,30,NA,"Round C01-R01 (Unknown) doses"
"Zimbabwe","ZWE",2024-01-29,2024,1,5,2100000,"Round C01-R01 2.1M doses"
"Zimbabwe","ZWE",2019-04-26,2019,4,17,482400,"Round C01-R01 482.4K doses"
"Zimbabwe","ZWE",2019-05-27,2019,5,22,400500,"Round C01-R02 400.5K doses"
"Zimbabwe","ZWE",2018-10-03,2018,10,40,NA,"Round C01-R01 (Unknown) doses"
"Zimbabwe","ZWE",2018-10-03,2018,10,40,1300000,"Round C01-R01 1.3M doses"
"Zimbabwe","ZWE",2019-03-11,2019,3,11,1500000,"Round C01-R02 1.5M doses"
"Zimbabwe","ZWE",2019-04-10,2019,4,15,NA,"Round C01-R02 (Unknown) doses"
