"iso_code","peak_start","peak_date","peak_stop","reported_cases","outbreak_interval_days"
"SLE",2012-02-10,2012-02-24,2012-03-30,66,49
"SLE",2012-07-20,2012-08-19,2012-09-18,289,60
"SOM",2017-04-02,2017-04-20,2017-05-08,479,36
"SOM",2018-05-15,2018-06-02,2018-07-15,57,61
"SOM",2019-03-01,2019-03-15,2019-04-15,18,45
"SOM",2023-03-31,2023-04-16,2023-05-02,124,32
"SOM",2024-02-15,2024-03-28,2024-05-30,120,105
"SOM",2025-04-27,2025-05-22,2025-06-16,68,50
"SSD",2016-06-01,2016-06-15,2016-07-15,30,44
"SSD",2017-02-01,2017-02-15,2017-03-15,25,42
"SSD",2017-05-22,2017-06-05,2017-06-16,165,25
"SSD",2023-03-01,2023-03-15,2023-04-15,20,45
"SSD",2024-11-29,2024-12-15,2025-01-14,516,46
"SSD",2025-04-04,2025-05-04,2025-06-03,455,60
"TCD",2014-10-01,2014-10-04,2014-10-31,9,30
"TCD",2017-09-25,2017-10-09,2017-10-23,33,28
"TCD",2019-10-10,2019-10-20,2019-10-31,2,21
"TGO",2013-10-14,2013-10-17,2013-10-21,26,7
"TGO",2024-10-08,2024-10-17,2024-10-26,66,18
"TZA",2015-09-18,2015-10-18,2015-11-17,109,60
"TZA",2016-02-12,2016-03-13,2016-04-04,102,52
"TZA",2016-12-15,2017-01-19,2017-02-28,33,75
"TZA",2018-02-05,2018-02-12,2018-02-23,33,18
"TZA",2023-06-01,2023-06-15,2023-07-15,25,44
"TZA",2023-10-12,2023-10-16,2023-10-20,9,8
"TZA",2024-02-25,2024-03-10,2024-03-16,32,20
"TZA",2024-10-28,2024-11-11,2024-11-25,91,28
"TZA",2025-05-27,2025-06-02,2025-06-06,19,10
"UGA",2015-04-25,2015-05-01,2015-05-15,6,20
"UGA",2017-07-04,2017-07-13,2017-07-22,33,18
"UGA",2018-02-12,2018-02-26,2018-03-12,71,28
"UGA",2020-12-27,2021-01-01,2021-01-06,25,10
"UGA",2021-11-02,2021-11-04,2021-11-06,8,4
"UGA",2023-07-25,2023-07-27,2023-07-29,7,4
