"variable_name","variable_description","parameter_distribution","i","j","t","parameter_name","parameter_value"
"rho","Care-seeking rate (rho): Wiens et al. 2025 random-effects pool of general diarrhea + severe-diarrhea/cholera strata","beta",NA,NA,NA,"shape1",5.3845888545596
"rho","Care-seeking rate (rho): Wiens et al. 2025 random-effects pool of general diarrhea + severe-diarrhea/cholera strata","beta",NA,NA,NA,"shape2",7.10156027641666
"rho","Care-seeking rate (rho): Wiens et al. 2025 random-effects pool of general diarrhea + severe-diarrhea/cholera strata","beta",NA,NA,NA,"mean",0.423371400856464
