"variable_name","variable_description","parameter_distribution","i","j","t","parameter_name","parameter_value"
"theta","WASH coverage","point",NA,"ZAF",NA,"mean",0.913309900436136
"theta","WASH coverage","point",NA,"GMB",NA,"mean",0.823907907958588
"theta","WASH coverage","point",NA,"SEN",NA,"mean",0.802617145990318
"theta","WASH coverage","point",NA,"NAM",NA,"mean",0.790012651929884
"theta","WASH coverage","point",NA,"GAB",NA,"mean",0.757211839344243
"theta","WASH coverage","point",NA,"MRT",NA,"mean",0.745641645018617
"theta","WASH coverage","point",NA,"BDI",NA,"mean",0.725439309848231
"theta","WASH coverage","point",NA,"SWZ",NA,"mean",0.715102219034724
"theta","WASH coverage","point",NA,"ERI",NA,"mean",0.709425882598199
"theta","WASH coverage","point",NA,"MLI",NA,"mean",0.709158179331758
"theta","WASH coverage","point",NA,"CMR",NA,"mean",0.702195043279203
"theta","WASH coverage","point",NA,"DJI",NA,"mean",0.697163746325866
"theta","WASH coverage","point",NA,"CIV",NA,"mean",0.696995593022847
"theta","WASH coverage","point",NA,"RWA",NA,"mean",0.691715296020389
"theta","WASH coverage","point",NA,"GNQ",NA,"mean",0.691454014537071
"theta","WASH coverage","point",NA,"NER",NA,"mean",0.68748802567638
"theta","WASH coverage","point",NA,"BWA",NA,"mean",0.687400562249389
"theta","WASH coverage","point",NA,"GNB",NA,"mean",0.680635392478507
"theta","WASH coverage","point",NA,"MWI",NA,"mean",0.672665705198764
"theta","WASH coverage","point",NA,"LSO",NA,"mean",0.670951375118605
"theta","WASH coverage","point",NA,"TZA",NA,"mean",0.662459438552131
"theta","WASH coverage","point",NA,"ZWE",NA,"mean",0.662058780328589
"theta","WASH coverage","point",NA,"BEN",NA,"mean",0.657335789147831
"theta","WASH coverage","point",NA,"MUS",NA,"mean",0.652820522449607
"theta","WASH coverage","point",NA,"MOZ",NA,"mean",0.64894201077891
"theta","WASH coverage","point",NA,"SDN",NA,"mean",0.636079830581899
"theta","WASH coverage","point",NA,"GHA",NA,"mean",0.6325538107765
"theta","WASH coverage","point",NA,"ETH",NA,"mean",0.63228528227706
"theta","WASH coverage","point",NA,"COD",NA,"mean",0.62881883749221
"theta","WASH coverage","point",NA,"ZMB",NA,"mean",0.627881103961712
"theta","WASH coverage","point",NA,"UGA",NA,"mean",0.626706892794503
"theta","WASH coverage","point",NA,"SOM",NA,"mean",0.625693855744188
"theta","WASH coverage","point",NA,"GIN",NA,"mean",0.624492614086347
"theta","WASH coverage","point",NA,"EGY",NA,"mean",0.623880988529344
"theta","WASH coverage","point",NA,"DZA",NA,"mean",0.623762257219239
"theta","WASH coverage","point",NA,"CAF",NA,"mean",0.617233034110135
"theta","WASH coverage","point",NA,"COG",NA,"mean",0.615583176673807
"theta","WASH coverage","point",NA,"BFA",NA,"mean",0.601725306457658
"theta","WASH coverage","point",NA,"LBY",NA,"mean",0.597699942470216
"theta","WASH coverage","point",NA,"MAR",NA,"mean",0.590317250426874
"theta","WASH coverage","point",NA,"CPV",NA,"mean",0.589372176640995
"theta","WASH coverage","point",NA,"KEN",NA,"mean",0.584967034702784
"theta","WASH coverage","point",NA,"TCD",NA,"mean",0.573613963043334
"theta","WASH coverage","point",NA,"AGO",NA,"mean",0.560481455873029
"theta","WASH coverage","point",NA,"TGO",NA,"mean",0.554660601903563
"theta","WASH coverage","point",NA,"NGA",NA,"mean",0.544526656403814
"theta","WASH coverage","point",NA,"TUN",NA,"mean",0.537695750227864
"theta","WASH coverage","point",NA,"SLE",NA,"mean",0.534945174425158
"theta","WASH coverage","point",NA,"MDG",NA,"mean",0.528217104281272
"theta","WASH coverage","point",NA,"LBR",NA,"mean",0.472575435225232
"theta","WASH coverage","point",NA,"SSD",NA,"mean",0.468515955634025
